No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
9.0,Bobby Portis,PF,6-10,250,"February 10, 1995",us,8,Arkansas
34.0,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr,10,
5.0,Malik Beasley,SG,6-4,187,"November 26, 1996",us,7,Florida State
11.0,Brook Lopez,C,7-1,282,"April 1, 1988",us,15,Stanford
0.0,Damian Lillard,PG,6-2,195,"July 15, 1990",us,11,Weber State
24.0,Pat Connaughton,SF,6-5,209,"January 6, 1993",us,8,Notre Dame
44.0,Andre Jackson Jr.,SG,6-6,210,"November 13, 2001",us,R,UConn
22.0,Khris Middleton,SF,6-7,222,"August 12, 1991",us,11,Texas A&M
3.0,MarJon Beauchamp,SF,6-6,199,"October 12, 2000",us,1,Yakima Valley Community College
20.0,A.J. Green,SG,6-4,200,"September 27, 1999",us,1,University of Northern Iowa
99.0,Jae Crowder,PF,6-6,235,"July 6, 1990",us,11,Marquette
43.0,Thanasis Antetokounmpo,PF,6-7,219,"July 18, 1992",gr,5,
7.0,Chris Livingston,SF,6-6,220,"October 15, 2003",us,R,Kentucky
21.0,Patrick Beverley,PG,6-2,180,"July 12, 1988",us,11,Arkansas
23.0,TyTy Washington Jr. (TW),PG,6-3,197,"November 15, 2001",us,1,Kentucky
12.0,Danilo Gallinari,SF,6-10,233,"August 8, 1988",it,13,
,Ryan Rollins (TW),PG,6-4,180,"July 3, 2002",us,1,Toledo
