,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tyrese Haliburton,38:26,11,18,.611,7,12,.583,4,5,.800,1,6,7,15,2,1,0,1,33,+19
1,Obi Toppin,36:40,12,15,.800,1,3,.333,2,4,.500,1,5,6,1,0,1,0,1,27,+13
2,Bruce Brown,35:48,5,11,.455,0,2,.000,4,4,1.000,0,5,5,3,1,0,0,4,14,+9
3,Myles Turner,19:13,5,11,.455,1,4,.250,6,8,.750,1,2,3,0,1,1,1,6,17,+5
4,Bennedict Mathurin,15:53,3,8,.375,2,4,.500,0,0,,0,0,0,0,0,0,2,0,8,+3
5,player,,,,,,,,,,,,,,,,,,,,
6,Buddy Hield,28:57,1,5,.200,0,3,.000,0,0,,0,2,2,1,1,0,5,2,2,+10
7,Aaron Nesmith,22:17,2,8,.250,1,5,.200,1,2,.500,0,4,4,2,1,1,1,4,6,-10
8,Isaiah Jackson,17:23,1,4,.250,0,0,,5,8,.625,5,4,9,2,0,1,1,4,7,-2
9,T.J. McConnell,13:07,5,8,.625,0,2,.000,1,1,1.000,1,2,3,3,0,0,1,3,11,-7
10,Andrew Nembhard,9:43,1,3,.333,0,1,.000,0,0,,1,1,2,4,1,0,0,1,2,-8
11,Jalen Smith,2:33,2,2,1.000,1,1,1.000,0,1,.000,0,0,0,1,0,0,0,2,5,-2
12,Jordan Nwora,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Ben Sheppard,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Jarace Walker,Did Not Play,,,,,,,,,,,,,,,,,,,
