,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Devin Vassell,32:00,7,15,.467,0,5,.000,7,8,.875,0,2,2,3,1,0,1,1,21,-15
1,Jeremy Sochan,30:31,2,9,.222,1,4,.250,0,0,,3,4,7,4,3,1,0,2,5,-9
2,Tre Jones,26:44,4,9,.444,1,5,.200,0,0,,0,4,4,11,0,0,2,2,9,-1
3,Victor Wembanyama,26:36,10,19,.526,2,6,.333,5,6,.833,2,3,5,1,0,1,5,2,27,-14
4,Julian Champagnie,17:31,4,8,.500,1,2,.500,0,0,,1,4,5,0,0,0,1,1,9,+2
5,player,,,,,,,,,,,,,,,,,,,,
6,Keldon Johnson,23:13,2,4,.500,1,2,.500,0,0,,0,2,2,1,1,0,0,1,5,-17
7,Dominick Barlow,21:24,2,6,.333,1,2,.500,0,0,,2,2,4,0,0,0,0,1,5,-5
8,Malaki Branham,16:27,4,9,.444,0,3,.000,0,0,,0,1,1,1,0,0,0,0,8,-20
9,Cedi Osman,11:59,1,2,.500,0,0,,0,0,,2,3,5,1,0,0,0,2,2,-10
10,Doug McDermott,11:46,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,0,1,2,-15
11,Blake Wesley,7:25,0,2,.000,0,0,,0,0,,0,1,1,2,0,0,1,1,0,+3
12,Mamadi Diakite,4:49,1,2,.500,0,0,,1,2,.500,1,1,2,1,0,1,0,1,3,+2
13,Sandro Mamukelashvili,4:49,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,+2
14,Devonte' Graham,4:46,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,+2
