,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jamal Murray,35:36,4,15,.267,1,6,.167,0,1,.000,0,3,3,11,1,1,2,1,9,-20
1,Peyton Watson,32:21,6,12,.500,1,6,.167,1,2,.500,0,2,2,2,1,2,1,4,14,-7
2,Nikola Jokić,31:32,9,10,.900,1,1,1.000,0,0,,2,8,10,7,1,1,7,2,19,-19
3,Michael Porter Jr.,30:47,4,12,.333,2,8,.250,2,2,1.000,0,6,6,1,0,1,0,1,12,-10
4,Kentavious Caldwell-Pope,27:10,3,5,.600,2,3,.667,0,1,.000,0,0,0,2,1,0,1,3,8,-16
5,player,,,,,,,,,,,,,,,,,,,,
6,Christian Braun,16:41,0,3,.000,0,2,.000,4,4,1.000,0,3,3,1,0,0,1,1,4,-6
7,Justin Holiday,15:39,0,3,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,1,0,-19
8,Reggie Jackson,15:21,3,10,.300,2,5,.400,0,0,,0,2,2,3,1,0,0,0,8,+1
9,DeAndre Jordan,13:04,3,4,.750,0,0,,0,0,,3,5,8,1,1,0,1,0,6,-1
10,Julian Strawther,11:37,3,7,.429,1,4,.250,3,4,.750,0,1,1,0,0,0,3,3,10,-15
11,Braxton Key,3:24,1,2,.500,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,-6
12,Zeke Nnaji,3:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
13,Jalen Pickett,3:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6
