,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Dejounte Murray,39:46,.490,.477,.318,.045,0.0,8.6,4.4,45.6,2.6,0.0,8.2,27.4,114,115,4.9
1,Saddiq Bey,36:00,.464,.333,.417,.583,3.3,3.2,3.3,0.0,0.0,0.0,6.2,19.9,98,123,-9.5
2,Bogdan Bogdanović,34:55,.535,.500,.467,.133,0.0,9.8,5.0,4.3,0.0,0.0,15.9,24.1,92,120,-7.6
3,Jalen Johnson,33:37,.536,.536,.286,.000,7.1,17.0,12.2,9.5,3.0,0.0,12.5,21.3,104,111,0.0
4,Clint Capela,22:13,.636,.500,.000,1.750,27.0,30.9,29.0,0.0,0.0,4.2,0.0,14.2,158,110,1.7
5,player,,,,,,,,,,,,,,,,
6,Onyeka Okongwu,25:49,.900,.900,.200,.000,4.6,17.7,11.3,5.7,2.0,3.6,28.6,12.1,123,111,0.3
7,Garrison Mathews,19:56,.900,.900,.800,.000,0.0,17.2,8.8,22.0,0.0,0.0,16.7,13.4,151,118,8.1
8,Patty Mills,18:02,.917,.917,.833,.000,0.0,19.0,9.7,18.1,2.8,0.0,14.3,17.3,151,110,10.4
9,Trent Forrest,9:42,.375,.375,.500,.000,0.0,11.8,6.0,42.4,0.0,0.0,20.0,23.0,91,120,-3.3
10,Bruno Fernando,Did Not Play,,,,,,,,,,,,,,,
11,AJ Griffin,Did Not Play,,,,,,,,,,,,,,,
12,Seth Lundy,Did Not Play,,,,,,,,,,,,,,,
