,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Franz Wagner,36:41,10,19,.526,1,5,.200,4,4,1.000,2,4,6,3,2,0,4,4,25,-1
1,Paolo Banchero,34:23,8,20,.400,3,8,.375,8,11,.727,4,8,12,6,2,1,5,4,27,-8
2,Jalen Suggs,31:23,3,14,.214,3,7,.429,1,2,.500,1,1,2,3,0,0,4,2,10,-9
3,Goga Bitadze,26:13,6,6,1.000,1,1,1.000,0,0,,3,4,7,1,1,1,0,3,13,-15
4,Anthony Black,13:18,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,2,0,-1
5,player,,,,,,,,,,,,,,,,,,,,
6,Gary Harris,28:42,3,7,.429,2,6,.333,0,0,,0,2,2,2,0,0,0,1,8,+3
7,Cole Anthony,25:49,3,8,.375,1,2,.500,1,1,1.000,3,1,4,2,0,1,2,4,8,-4
8,Wendell Carter Jr.,19:52,1,5,.200,0,1,.000,4,4,1.000,0,2,2,1,1,1,0,1,6,+4
9,Moritz Wagner,15:32,5,8,.625,1,2,.500,1,1,1.000,3,2,5,1,1,0,1,2,12,+7
10,Caleb Houstan,8:07,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,1,6,-6
11,Chuma Okeke,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Trevelin Queen,Did Not Play,,,,,,,,,,,,,,,,,,,
