,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Zion Williamson,25:38,5,9,.556,0,0,,0,0,,1,2,3,5,0,1,4,3,10,+16
1,Brandon Ingram,24:59,5,9,.556,2,2,1.000,0,0,,1,4,5,5,0,1,1,2,12,+20
2,CJ McCollum,24:30,6,11,.545,4,8,.500,0,0,,2,4,6,5,0,0,2,0,16,+12
3,Herbert Jones,24:23,5,10,.500,2,4,.500,2,2,1.000,2,2,4,1,2,1,3,1,14,+19
4,Jonas Valančiūnas,19:48,5,5,1.000,1,1,1.000,0,0,,3,9,12,0,1,1,1,0,11,+17
5,player,,,,,,,,,,,,,,,,,,,,
6,Jordan Hawkins,26:06,3,13,.231,2,8,.250,3,4,.750,0,0,0,1,0,2,0,0,11,+14
7,Jose Alvarado,21:58,4,9,.444,3,6,.500,2,3,.667,1,2,3,2,2,0,1,2,13,+16
8,Larry Nance Jr.,19:54,2,4,.500,1,2,.500,1,2,.500,2,6,8,0,2,0,1,2,6,+10
9,Dyson Daniels,19:38,2,5,.400,1,4,.250,2,2,1.000,1,1,2,3,2,2,1,0,7,+5
10,Naji Marshall,15:44,2,6,.333,0,2,.000,2,2,1.000,1,1,2,1,1,1,0,0,6,+8
11,Cody Zeller,8:18,1,3,.333,0,0,,2,3,.667,1,1,2,0,0,0,0,2,4,0
12,Kira Lewis Jr.,5:03,1,3,.333,0,2,.000,0,0,,1,0,1,0,0,0,1,0,2,-3
13,Jeremiah Robinson-Earl,4:01,0,1,.000,0,0,,0,0,,1,4,5,0,0,0,1,0,0,+1
