,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Max Strus,35:55,6,13,.462,3,10,.300,0,0,,0,4,4,4,1,0,0,3,15,+4
1,Donovan Mitchell,34:02,11,19,.579,5,11,.455,4,4,1.000,1,1,2,7,2,0,4,3,31,+6
2,Darius Garland,30:05,6,17,.353,0,5,.000,12,13,.923,0,3,3,7,0,0,6,3,24,+15
3,Evan Mobley,29:00,6,10,.600,0,1,.000,1,4,.250,5,11,16,2,0,1,5,4,13,+8
4,Jarrett Allen,27:56,5,7,.714,0,0,,2,2,1.000,5,4,9,3,0,0,2,1,12,+9
5,player,,,,,,,,,,,,,,,,,,,,
6,Caris LeVert,31:53,3,6,.500,0,3,.000,2,2,1.000,0,5,5,2,2,0,1,0,8,+6
7,Georges Niang,25:11,2,6,.333,2,4,.500,0,0,,0,6,6,1,0,0,0,4,6,+1
8,Dean Wade,12:30,1,3,.333,1,3,.333,0,0,,1,3,4,0,3,0,0,1,3,+8
9,Tristan Thompson,11:07,1,2,.500,0,0,,1,3,.333,1,4,5,0,0,1,0,2,3,+2
10,Damian Jones,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
11,Sam Merrill,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
