,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Bam Adebayo,35:49,7,13,.538,0,0,,2,3,.667,1,4,5,4,1,0,2,3,16,-23
1,Tyler Herro,32:23,7,20,.350,2,9,.222,0,0,,1,6,7,3,0,0,3,2,16,-8
2,Jimmy Butler,30:48,6,11,.545,0,0,,4,5,.800,2,3,5,5,2,0,1,0,16,-8
3,Kyle Lowry,29:00,2,9,.222,0,6,.000,0,0,,1,1,2,3,0,1,1,2,4,-7
4,Nikola Jović,21:01,4,9,.444,1,2,.500,1,2,.500,3,4,7,2,0,1,2,1,10,+6
5,player,,,,,,,,,,,,,,,,,,,,
6,Caleb Martin,25:37,4,5,.800,0,0,,2,2,1.000,1,2,3,5,0,0,1,1,10,-22
7,Josh Richardson,23:23,2,7,.286,1,4,.250,0,0,,0,1,1,0,1,2,1,3,5,-24
8,Duncan Robinson,21:19,6,11,.545,2,5,.400,0,0,,1,2,3,1,0,0,2,0,14,-18
9,Haywood Highsmith,11:32,1,2,.500,0,1,.000,0,0,,2,1,3,0,0,1,0,0,2,-19
10,Thomas Bryant,4:26,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-3
11,Cole Swider,2:21,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,+3
12,Orlando Robinson,2:21,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+3
