,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Vince Williams Jr.,37:52,.779,.682,.545,.909,7.8,13.3,10.2,20.8,2.5,2.1,16.3,20.4,142,107,6.1,Golden State Warriors,Memphis Grizzlies,2024-01-15
1,Jaren Jackson Jr.,33:18,.383,.275,.700,.400,0.0,19.0,8.3,27.5,5.7,2.4,4.1,30.8,92,99,-0.9,Golden State Warriors,Memphis Grizzlies,2024-01-15
2,Luke Kennard,31:56,.491,.333,.778,.556,3.1,4.0,3.5,25.9,1.5,0.0,8.2,16.0,119,112,-4.5,Golden State Warriors,Memphis Grizzlies,2024-01-15
3,Xavier Tillman Sr.,30:17,.167,.167,.333,.000,3.2,12.5,7.3,15.6,1.6,5.4,0.0,8.3,77,106,-5.5,Golden State Warriors,Memphis Grizzlies,2024-01-15
4,Ziaire Williams,19:48,.258,.250,.833,.667,9.9,6.4,8.4,0.0,2.4,0.0,11.4,18.5,63,110,-16.0,Golden State Warriors,Memphis Grizzlies,2024-01-15
6,GG Jackson II,29:10,.919,.944,.889,.889,3.4,21.7,11.3,7.4,3.2,5.6,13.8,20.9,145,101,12.2,Golden State Warriors,Memphis Grizzlies,2024-01-15
7,David Roddy,21:24,.500,.500,.333,.000,13.7,23.6,18.0,21.6,0.0,0.0,14.3,27.4,99,112,-5.8,Golden State Warriors,Memphis Grizzlies,2024-01-15
8,Jacob Gilyard,19:07,.786,.786,.571,.000,0.0,13.2,5.8,34.3,4.9,4.3,0.0,15.3,160,100,14.4,Golden State Warriors,Memphis Grizzlies,2024-01-15
9,Santi Aldama,17:06,.671,.583,.667,.833,0.0,44.3,19.4,11.9,0.0,14.3,10.9,22.5,123,97,5.4,Golden State Warriors,Memphis Grizzlies,2024-01-15
10,John Konchar,0:0,Golden State Warriors,Memphis Grizzlies,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Jake LaRavia,0:0,Golden State Warriors,Memphis Grizzlies,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Derrick Rose,0:0,Golden State Warriors,Memphis Grizzlies,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
