,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Jalen Green,40:41,.663,.609,.435,.261,7.9,23.1,15.6,21.8,1.1,0.0,3.8,25.3,146,112,9.3,Los Angeles Lakers,Houston Rockets,2024-01-29
1,Alperen Şengün,39:30,.626,.630,.174,.174,8.1,23.8,16.0,24.3,2.2,2.2,13.9,28.2,120,107,5.4,Los Angeles Lakers,Houston Rockets,2024-01-29
2,Fred VanVleet,37:25,.260,.000,1.000,1.000,2.9,8.4,5.6,34.5,2.4,0.0,25.8,8.0,118,110,-1.9,Los Angeles Lakers,Houston Rockets,2024-01-29
3,Jabari Smith Jr.,36:07,.692,.692,.385,.000,5.9,20.2,13.1,12.9,3.7,2.4,7.1,15.0,141,104,8.4,Los Angeles Lakers,Houston Rockets,2024-01-29
4,Dillon Brooks,28:29,.660,.667,.333,.167,11.2,0.0,5.6,4.2,1.6,0.0,7.2,18.9,131,112,-0.9,Los Angeles Lakers,Houston Rockets,2024-01-29
6,Jae'Sean Tate,18:51,.500,.500,.286,.000,0.0,5.5,2.8,0.0,0.0,0.0,12.5,16.4,88,115,-10.4,Los Angeles Lakers,Houston Rockets,2024-01-29
7,Cam Whitmore,18:10,.683,.667,.500,.500,5.9,28.7,17.4,0.0,0.0,0.0,0.0,31.2,141,114,7.3,Los Angeles Lakers,Houston Rockets,2024-01-29
8,Amen Thompson,11:54,.000,.000,.000,.000,9.0,52.6,31.0,23.3,3.7,0.0,83.3,19.5,38,102,-14.7,Los Angeles Lakers,Houston Rockets,2024-01-29
9,Jeff Green,8:07,.579,.333,.333,1.000,0.0,25.7,13.0,0.0,0.0,0.0,0.0,20.6,135,114,-3.5,Los Angeles Lakers,Houston Rockets,2024-01-29
10,Nate Hinton,0:23,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-8.4,Los Angeles Lakers,Houston Rockets,2024-01-29
11,Jermaine Samuels,0:23,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-7.0,Los Angeles Lakers,Houston Rockets,2024-01-29
12,Reggie Bullock,0:0,Los Angeles Lakers,Houston Rockets,2024-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Aaron Holiday,0:0,Los Angeles Lakers,Houston Rockets,2024-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Jock Landale,0:0,Los Angeles Lakers,Houston Rockets,2024-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Boban Marjanović,0:0,Los Angeles Lakers,Houston Rockets,2024-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
