,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Tyrese Maxey,41:06,17,27,.630,7,9,.778,10,11,.909,0,2,2,1,0,1,0,4,51,-2,Philadelphia76ers,Utah Jazz,2024-02-01
1,Kelly Oubre Jr.,39:35,6,14,.429,3,6,.500,1,2,.500,1,3,4,2,2,3,0,4,16,-1,Philadelphia76ers,Utah Jazz,2024-02-01
2,Tobias Harris,39:03,13,21,.619,0,5,.000,2,2,1.000,2,3,5,7,1,1,0,3,28,+5,Philadelphia76ers,Utah Jazz,2024-02-01
3,Paul Reed,27:39,3,9,.333,0,1,.000,1,1,1.000,4,6,10,4,1,2,1,2,7,+5,Philadelphia76ers,Utah Jazz,2024-02-01
4,Danuel House Jr.,19:03,1,2,.500,0,1,.000,3,3,1.000,1,1,2,3,1,1,0,2,5,+10,Philadelphia76ers,Utah Jazz,2024-02-01
6,Jaden Springer,19:18,1,4,.250,1,2,.500,0,0,,0,1,1,2,1,0,0,3,3,-4,Philadelphia76ers,Utah Jazz,2024-02-01
7,Patrick Beverley,18:19,2,2,1.000,2,2,1.000,2,2,1.000,0,4,4,5,0,0,2,2,8,+4,Philadelphia76ers,Utah Jazz,2024-02-01
8,Mo Bamba,17:58,2,7,.286,0,2,.000,0,0,,1,8,9,0,0,3,1,1,4,-7,Philadelphia76ers,Utah Jazz,2024-02-01
9,Furkan Korkmaz,12:31,2,7,.286,1,4,.250,0,0,,0,2,2,2,0,0,0,1,5,+8,Philadelphia76ers,Utah Jazz,2024-02-01
10,KJ Martin,5:28,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-3,Philadelphia76ers,Utah Jazz,2024-02-01
11,Ricky Council IV,0:0,Philadelphia76ers,Utah Jazz,2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Terquavion Smith,0:0,Philadelphia76ers,Utah Jazz,2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
