,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Terry Rozier,34:21,7,16,.438,2,7,.286,8,12,.667,1,4,5,6,0,0,3,2,24,+14,Atlanta Hawks,Charlotte Hornets,2023-10-25
1,Gordon Hayward,33:20,4,8,.500,0,1,.000,2,3,.667,3,5,8,7,1,1,6,1,10,+15,Atlanta Hawks,Charlotte Hornets,2023-10-25
2,P.J. Washington,31:48,12,18,.667,1,6,.167,0,0,,1,4,5,2,0,0,1,4,25,+5,Atlanta Hawks,Charlotte Hornets,2023-10-25
3,LaMelo Ball,30:47,4,15,.267,4,11,.364,3,4,.750,1,5,6,10,1,0,3,3,15,+7,Atlanta Hawks,Charlotte Hornets,2023-10-25
4,Mark Williams,29:55,5,6,.833,0,0,,3,3,1.000,4,11,15,1,3,1,2,2,13,+19,Atlanta Hawks,Charlotte Hornets,2023-10-25
6,Brandon Miller,24:37,5,9,.556,3,7,.429,0,0,,0,3,3,2,0,0,1,3,13,-13,Atlanta Hawks,Charlotte Hornets,2023-10-25
7,JT Thor,20:07,2,7,.286,1,3,.333,0,0,,1,1,2,1,0,0,0,0,5,+2,Atlanta Hawks,Charlotte Hornets,2023-10-25
8,Nick Richards,18:03,2,2,1.000,0,0,,3,4,.750,1,3,4,1,0,1,2,3,7,-14,Atlanta Hawks,Charlotte Hornets,2023-10-25
9,Théo Maledon,16:19,2,5,.400,0,2,.000,0,0,,0,3,3,4,0,0,1,3,4,-5,Atlanta Hawks,Charlotte Hornets,2023-10-25
10,Nick Smith Jr.,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,Atlanta Hawks,Charlotte Hornets,2023-10-25
11,Amari Bailey,0:0,Atlanta Hawks,Charlotte Hornets,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Leaky Black,0:0,Atlanta Hawks,Charlotte Hornets,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
