,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Paul George,41:20,.533,.471,.471,.235,10.2,15.7,13.1,22.7,1.2,2.3,5.1,21.3,132,133,-2.1,Portland Trail Blazers,Los Angeles Clippers,2023-12-11
1,Kawhi Leonard,38:32,.740,.658,.421,.474,0.0,20.2,10.5,17.6,3.9,0.0,4.2,27.7,153,127,8.2,Portland Trail Blazers,Los Angeles Clippers,2023-12-11
2,James Harden,37:17,.653,.607,.429,.214,0.0,24.4,12.7,22.5,1.3,5.1,16.4,21.9,123,129,0.1,Portland Trail Blazers,Los Angeles Clippers,2023-12-11
3,Ivica Zubac,33:26,.692,.692,.000,.000,12.7,11.6,12.1,8.0,0.0,5.7,0.0,17.3,152,135,-1.2,Portland Trail Blazers,Los Angeles Clippers,2023-12-11
4,Terance Mann,28:42,.654,.583,.667,.333,9.8,4.5,7.1,15.2,0.0,0.0,0.0,10.7,163,141,-2.1,Portland Trail Blazers,Los Angeles Clippers,2023-12-11
6,Norman Powell,24:55,.810,.778,.444,.222,0.0,15.6,8.1,5.1,2.0,7.7,0.0,17.7,164,128,4.8,Portland Trail Blazers,Los Angeles Clippers,2023-12-11
7,Russell Westbrook,16:11,.761,.786,.286,.286,8.7,8.0,8.4,52.1,0.0,5.9,33.7,32.7,116,136,4.3,Portland Trail Blazers,Los Angeles Clippers,2023-12-11
8,Daniel Theis,14:12,.500,.500,.333,.000,0.0,0.0,0.0,0.0,3.5,6.8,0.0,9.4,104,130,-6.5,Portland Trail Blazers,Los Angeles Clippers,2023-12-11
9,Kobe Brown,5:23,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0,142,-22.0,Portland Trail Blazers,Los Angeles Clippers,2023-12-11
10,Brandon Boston Jr.,0:0,Portland Trail Blazers,Los Angeles Clippers,2023-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Amir Coffey,0:0,Portland Trail Blazers,Los Angeles Clippers,2023-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jordan Miller,0:0,Portland Trail Blazers,Los Angeles Clippers,2023-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Xavier Moon,0:0,Portland Trail Blazers,Los Angeles Clippers,2023-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,P.J. Tucker,0:0,Portland Trail Blazers,Los Angeles Clippers,2023-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
