,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Scoot Henderson,35:50,5,11,.455,0,3,.000,1,1,1.000,1,2,3,4,0,0,4,2,11,-16,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
1,Jerami Grant,29:57,5,12,.417,0,4,.000,3,4,.750,2,1,3,1,0,1,3,1,13,-22,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
2,Anfernee Simons,27:22,6,14,.429,2,6,.333,4,4,1.000,1,1,2,4,2,0,0,2,18,-27,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
3,Deandre Ayton,23:05,2,4,.500,0,0,,0,0,,3,9,12,1,3,1,3,5,4,-5,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
4,Matisse Thybulle,20:05,3,7,.429,2,6,.333,0,0,,1,0,1,1,1,0,2,0,8,-12,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
6,Shaedon Sharpe,28:29,6,14,.429,1,6,.167,1,1,1.000,4,2,6,3,1,0,0,4,14,+10,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
7,Robert Williams,23:13,5,7,.714,0,0,,0,1,.000,2,5,7,0,3,1,2,4,10,-23,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
8,Malcolm Brogdon,22:39,8,16,.500,3,5,.600,1,1,1.000,0,2,2,5,0,0,1,0,20,-5,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
9,Toumani Camara,15:51,2,5,.400,2,2,1.000,1,2,.500,0,2,2,1,0,1,0,2,7,+13,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
10,Jabari Walker,6:21,2,3,.667,0,0,,2,3,.667,1,0,1,0,0,0,2,0,6,+12,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
11,Kris Murray,5:18,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+12,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
12,Rayan Rupert,1:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3,Portland Trail Blazers,Los Angeles Clippers,2023-10-25
13,Moses Brown,0:0,Portland Trail Blazers,Los Angeles Clippers,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
