,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Tyrese Maxey,21:32,5,12,.417,1,5,.200,5,6,.833,0,2,2,1,0,0,1,1,16,+8,Cleveland Cavaliers,Philadelphia76ers,2023-11-21
1,Tobias Harris,17:34,3,5,.600,2,2,1.000,2,2,1.000,0,2,2,1,1,0,0,1,10,+10,Cleveland Cavaliers,Philadelphia76ers,2023-11-21
2,De'Anthony Melton,19:45,1,5,.200,0,2,.000,2,2,1.000,3,1,4,3,1,0,1,2,4,+10,Cleveland Cavaliers,Philadelphia76ers,2023-11-21
3,Joel Embiid,20:19,4,12,.333,1,3,.333,9,10,.900,1,3,4,2,2,4,3,2,18,+13,Cleveland Cavaliers,Philadelphia76ers,2023-11-21
4,Nicolas Batum,8:06,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,3,0,0,Cleveland Cavaliers,Philadelphia76ers,2023-11-21
6,Patrick Beverley,12:11,1,2,.500,0,1,.000,0,0,,1,2,3,0,1,1,0,3,2,+13,Cleveland Cavaliers,Philadelphia76ers,2023-11-21
7,Robert Covington,8:33,0,0,,0,0,,0,0,,2,3,5,1,2,1,1,0,0,+5,Cleveland Cavaliers,Philadelphia76ers,2023-11-21
8,Danuel House Jr.,8:19,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,5,+2,Cleveland Cavaliers,Philadelphia76ers,2023-11-21
9,Paul Reed,3:41,1,1,1.000,0,0,,0,0,,1,0,1,0,1,0,0,1,2,-1,Cleveland Cavaliers,Philadelphia76ers,2023-11-21
10,Jaden Springer, ,Cleveland Cavaliers,Philadelphia76ers,2023-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Marcus Morris, ,Cleveland Cavaliers,Philadelphia76ers,2023-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Mo Bamba,0:0,Cleveland Cavaliers,Philadelphia76ers,2023-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Furkan Korkmaz,0:0,Cleveland Cavaliers,Philadelphia76ers,2023-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,KJ Martin,0:0,Cleveland Cavaliers,Philadelphia76ers,2023-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
