,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Jarrett Allen,38:03,.667,.667,.000,.000,16.8,16.8,16.8,8.3,0.0,6.0,10.0,11.3,138,115,-0.1,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30
1,Darius Garland,36:58,.407,.389,.444,.056,2.9,13.0,6.9,30.1,1.4,0.0,30.3,30.9,71,116,-10.9,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30
2,Max Strus,35:42,.409,.409,.545,.000,0.0,13.4,5.4,12.4,2.9,0.0,15.4,15.7,82,112,-7.3,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30
3,Evan Mobley,33:49,.672,.643,.071,.143,6.3,28.4,15.1,16.9,3.1,0.0,16.8,22.8,117,108,6.0,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30
4,Donovan Mitchell,33:30,.489,.375,.450,.400,9.6,19.1,13.4,30.7,6.2,0.0,4.1,31.6,119,103,12.8,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30
6,Caris LeVert,26:06,.278,.278,.444,.000,4.1,6.1,4.9,10.7,0.0,0.0,18.2,18.2,63,121,-15.2,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30
7,Georges Niang,18:58,.621,.583,.500,.167,5.6,0.0,3.4,16.6,5.5,0.0,0.0,14.6,144,109,10.3,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30
8,Isaac Okoro,16:54,.750,.750,.500,.000,0.0,0.0,0.0,0.0,3.1,0.0,0.0,5.1,151,115,-1.6,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30
9,Damian Jones,0:0,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Sam Merrill,0:0,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Craig Porter Jr.,0:0,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Tristan Thompson,0:0,Portland Trail Blazers,Cleveland Cavaliers,2023-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
