,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Tyrese Haliburton,35:43,.586,.529,.588,.235,4.0,12.8,8.8,78.8,2.7,2.3,9.6,25.3,157,123,12.9,New York Knicks,Indiana Pacers,2023-12-30
1,Andrew Nembhard,33:29,.643,.600,.400,.200,12.6,6.8,9.4,16.7,2.8,0.0,26.9,19.3,118,125,-3.7,New York Knicks,Indiana Pacers,2023-12-30
2,Myles Turner,30:55,.764,.765,.471,.176,4.6,25.9,16.3,9.0,0.0,0.0,5.2,27.2,139,126,6.1,New York Knicks,Indiana Pacers,2023-12-30
3,Aaron Nesmith,30:37,.901,.885,.846,.154,0.0,3.7,2.1,8.4,1.6,0.0,12.6,22.6,139,130,7.0,New York Knicks,Indiana Pacers,2023-12-30
4,Jalen Smith,20:46,.666,.700,.400,.800,0.0,22.0,12.2,10.7,0.0,8.0,12.9,16.3,122,122,-3.0,New York Knicks,Indiana Pacers,2023-12-30
6,Bennedict Mathurin,25:32,.883,.850,.500,.300,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.7,132,135,0.1,New York Knicks,Indiana Pacers,2023-12-30
7,Obi Toppin,19:56,.699,.750,.167,.167,14.2,34.4,25.3,11.9,0.0,12.5,0.0,14.1,157,115,6.2,New York Knicks,Indiana Pacers,2023-12-30
8,Buddy Hield,18:19,.872,.833,.667,.333,0.0,12.5,6.9,5.9,2.6,0.0,22.5,10.6,130,124,-0.4,New York Knicks,Indiana Pacers,2023-12-30
9,T.J. McConnell,12:17,.727,.667,.000,.333,0.0,0.0,0.0,27.8,0.0,0.0,36.8,19.3,113,135,-8.0,New York Knicks,Indiana Pacers,2023-12-30
10,Isaiah Jackson,9:11,1.000,1.000,.000,.000,0.0,12.4,6.9,0.0,0.0,9.0,50.0,9.5,69,125,-8.6,New York Knicks,Indiana Pacers,2023-12-30
11,Jordan Nwora,1:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-6.7,New York Knicks,Indiana Pacers,2023-12-30
12,Ben Sheppard,1:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-5.7,New York Knicks,Indiana Pacers,2023-12-30
13,Jarace Walker,1:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-6.7,New York Knicks,Indiana Pacers,2023-12-30
14,James Johnson,0:0,New York Knicks,Indiana Pacers,2023-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
