,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Shai Gilgeous-Alexander,32:08,11,25,.440,1,6,.167,8,9,.889,2,6,8,4,4,2,1,0,31,+9,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
1,Luguentz Dort,31:17,8,12,.667,3,6,.500,2,2,1.000,1,2,3,4,0,1,0,2,21,+20,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
2,Chet Holmgren,29:33,9,11,.818,2,3,.667,3,3,1.000,0,6,6,7,0,0,1,1,23,+17,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
3,Jalen Williams,28:50,6,11,.545,1,3,.333,0,0,,1,3,4,7,2,0,2,0,13,+24,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
4,Josh Giddey,14:23,4,5,.800,3,3,1.000,0,0,,1,2,3,4,0,0,5,0,11,+2,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
6,Aaron Wiggins,25:21,3,6,.500,1,2,.500,1,2,.500,0,7,7,1,1,0,1,3,8,+22,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
7,Isaiah Joe,25:14,4,8,.500,3,7,.429,0,0,,1,1,2,0,0,1,0,2,11,-11,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
8,Cason Wallace,19:51,1,4,.250,0,2,.000,0,0,,0,0,0,3,0,1,1,2,2,-5,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
9,Kenrich Williams,17:55,2,2,1.000,1,1,1.000,0,0,,0,2,2,3,2,0,0,1,5,0,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
10,Ousmane Dieng,7:38,2,2,1.000,1,1,1.000,2,2,1.000,0,1,1,0,0,0,0,0,7,+12,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
11,Jaylin Williams,5:49,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,2,+4,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
12,Tre Mann,2:01,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21
13,Dāvis Bertāns,0:0,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Vasilije Micić,0:0,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Olivier Sarr,0:0,Los Angeles Clippers,Oklahoma City Thunder,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
