,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Corey Kispert,27:54,.326,.250,.714,.214,0.0,3.4,1.9,9.1,0.0,0.0,0.0,23.3,78,141,-17.2,Atlanta Hawks,Washington Wizards,2023-11-25
1,Kyle Kuzma,25:12,.551,.500,.500,.200,9.5,19.0,14.8,43.1,0.0,0.0,31.5,26.7,97,135,-2.8,Atlanta Hawks,Washington Wizards,2023-11-25
2,Tyus Jones,24:26,.333,.333,.500,.000,4.9,3.9,4.4,20.1,0.0,0.0,25.0,13.9,79,141,-15.8,Atlanta Hawks,Washington Wizards,2023-11-25
3,Daniel Gafford,18:10,.750,.750,.000,.000,6.6,15.9,11.7,0.0,0.0,8.1,0.0,18.7,145,131,0.7,Atlanta Hawks,Washington Wizards,2023-11-25
4,Deni Avdija,16:49,.507,.438,.500,.250,7.1,28.5,19.0,16.6,0.0,0.0,25.3,29.9,85,131,-12.5,Atlanta Hawks,Washington Wizards,2023-11-25
6,Bilal Coulibaly,31:40,.700,.700,.400,.000,0.0,9.1,5.1,7.9,1.5,2.3,37.5,10.7,83,134,-6.8,Atlanta Hawks,Washington Wizards,2023-11-25
7,Mike Muscala,17:36,.833,.833,.667,.000,0.0,32.7,18.2,29.1,0.0,8.4,25.0,9.6,136,125,9.2,Atlanta Hawks,Washington Wizards,2023-11-25
8,Anthony Gill,17:30,.727,.667,.167,.333,6.9,11.0,9.1,8.6,0.0,0.0,22.5,21.5,112,138,-6.5,Atlanta Hawks,Washington Wizards,2023-11-25
9,Landry Shamet,16:31,.667,.667,.556,.000,0.0,5.8,3.2,20.4,0.0,0.0,10.0,25.7,114,140,-1.6,Atlanta Hawks,Washington Wizards,2023-11-25
10,Jared Butler,16:26,.770,.750,.500,.125,0.0,11.7,6.5,51.4,5.7,4.5,19.2,26.9,128,121,12.0,Atlanta Hawks,Washington Wizards,2023-11-25
11,Johnny Davis,15:44,.400,.400,.200,.000,0.0,18.3,10.2,16.5,3.0,0.0,16.7,16.2,80,128,-8.4,Atlanta Hawks,Washington Wizards,2023-11-25
12,Eugene Omoruyi,12:00,.727,.667,.167,.333,20.0,8.0,13.3,14.8,3.9,0.0,0.0,24.3,156,130,8.8,Atlanta Hawks,Washington Wizards,2023-11-25
13,Jordan Poole,0:0,Atlanta Hawks,Washington Wizards,2023-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
