,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Tyus Jones,28:20,7,12,.583,2,4,.500,0,1,.000,1,2,3,6,1,1,2,1,16,-17,Washington Wizards,Indiana Pacers,2023-10-25
1,Jordan Poole,26:19,7,18,.389,0,6,.000,4,5,.800,0,2,2,5,1,1,4,1,18,-12,Washington Wizards,Indiana Pacers,2023-10-25
2,Kyle Kuzma,24:52,9,18,.500,1,4,.250,6,6,1.000,1,1,2,0,0,2,0,0,25,-10,Washington Wizards,Indiana Pacers,2023-10-25
3,Daniel Gafford,21:03,2,2,1.000,0,0,,2,4,.500,1,4,5,0,0,2,0,5,6,-23,Washington Wizards,Indiana Pacers,2023-10-25
4,Deni Avdija,20:40,4,8,.500,0,0,,1,2,.500,2,5,7,5,1,0,2,0,9,-15,Washington Wizards,Indiana Pacers,2023-10-25
6,Delon Wright,25:19,3,8,.375,1,1,1.000,1,1,1.000,1,5,6,6,3,0,0,1,8,-15,Washington Wizards,Indiana Pacers,2023-10-25
7,Corey Kispert,24:27,4,11,.364,1,5,.200,2,2,1.000,2,3,5,1,0,0,1,1,11,-8,Washington Wizards,Indiana Pacers,2023-10-25
8,Bilal Coulibaly,23:08,1,3,.333,1,1,1.000,0,0,,0,4,4,3,0,3,3,1,3,-13,Washington Wizards,Indiana Pacers,2023-10-25
9,Danilo Gallinari,17:10,4,7,.571,2,2,1.000,6,6,1.000,2,1,3,0,0,0,0,1,16,+5,Washington Wizards,Indiana Pacers,2023-10-25
10,Mike Muscala,8:10,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,-8,Washington Wizards,Indiana Pacers,2023-10-25
11,Eugene Omoruyi,7:46,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,1,0,4,-2,Washington Wizards,Indiana Pacers,2023-10-25
12,Ryan Rollins,6:00,0,3,.000,0,0,,1,2,.500,0,3,3,1,0,0,1,0,1,-1,Washington Wizards,Indiana Pacers,2023-10-25
13,Jared Butler,3:23,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+2,Washington Wizards,Indiana Pacers,2023-10-25
14,Patrick Baldwin Jr.,3:23,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,Washington Wizards,Indiana Pacers,2023-10-25
15,John Butler,0:0,Washington Wizards,Indiana Pacers,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
