,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Andrew Nembhard,34:22,.583,.583,.167,.000,4.2,0.0,1.9,12.2,0.0,0.0,0.0,8.0,146,120,-3.0,Indiana Pacers,New York Knicks,2024-02-10
1,Aaron Nesmith,31:10,.542,.542,.583,.000,4.7,7.7,6.3,0.0,0.0,0.0,7.7,19.0,101,119,-7.6,Indiana Pacers,New York Knicks,2024-02-10
2,Pascal Siakam,31:04,.644,.692,.462,.308,0.0,23.2,12.7,12.3,1.6,0.0,6.3,23.1,123,113,3.8,Indiana Pacers,New York Knicks,2024-02-10
3,Myles Turner,30:43,1.069,1.111,.222,.444,0.0,31.3,17.1,17.4,1.6,0.0,15.7,18.9,175,112,15.3,Indiana Pacers,New York Knicks,2024-02-10
4,Tyrese Haliburton,30:17,.679,.643,.643,.357,0.0,11.9,6.5,48.9,0.0,3.0,5.8,25.9,151,115,13.4,Indiana Pacers,New York Knicks,2024-02-10
6,Bennedict Mathurin,23:03,.291,.333,.167,.333,6.3,26.0,17.1,0.0,0.0,4.0,36.8,21.5,43,113,-17.0,Indiana Pacers,New York Knicks,2024-02-10
7,T.J. McConnell,17:49,.800,.800,.000,.000,0.0,26.9,14.8,56.8,2.8,0.0,9.1,28.1,157,110,15.4,Indiana Pacers,New York Knicks,2024-02-10
8,Isaiah Jackson,17:17,.872,.833,.000,.333,25.2,34.7,30.4,7.7,0.0,5.3,30.4,26.0,129,110,-1.2,Indiana Pacers,New York Knicks,2024-02-10
9,Obi Toppin,16:56,.765,.800,.400,.400,0.0,14.2,7.8,0.0,2.9,0.0,25.4,21.2,100,111,0.8,Indiana Pacers,New York Knicks,2024-02-10
10,Doug McDermott,7:19,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0,120,-13.0,Indiana Pacers,New York Knicks,2024-02-10
11,James Johnson,0:0,Indiana Pacers,New York Knicks,2024-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Ben Sheppard,0:0,Indiana Pacers,New York Knicks,2024-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Oscar Tshiebwe,0:0,Indiana Pacers,New York Knicks,2024-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
