,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Cade Cunningham,35:46,13,27,.481,4,9,.444,0,0,,0,3,3,9,1,1,3,5,30,-2,Detroit Pistons,Miami Heat,2023-10-25
1,Isaiah Stewart,34:37,6,11,.545,2,3,.667,0,0,,6,8,14,2,0,0,1,3,14,+7,Detroit Pistons,Miami Heat,2023-10-25
2,Jalen Duren,31:49,8,11,.727,0,0,,1,3,.333,6,8,14,4,0,4,4,4,17,-4,Detroit Pistons,Miami Heat,2023-10-25
3,Killian Hayes,30:30,4,12,.333,0,6,.000,2,3,.667,0,1,1,3,2,1,1,2,10,+1,Detroit Pistons,Miami Heat,2023-10-25
4,Ausar Thompson,26:53,1,7,.143,1,2,.500,1,2,.500,3,4,7,3,0,5,2,2,4,-14,Detroit Pistons,Miami Heat,2023-10-25
6,Alec Burks,24:57,2,8,.250,2,5,.400,1,2,.500,0,5,5,0,0,1,0,1,7,+9,Detroit Pistons,Miami Heat,2023-10-25
7,Jaden Ivey,17:08,1,7,.143,0,2,.000,2,3,.667,0,2,2,3,0,0,3,3,4,-2,Detroit Pistons,Miami Heat,2023-10-25
8,Marvin Bagley III,16:11,3,3,1.000,0,0,,2,2,1.000,2,6,8,3,0,1,1,1,8,+3,Detroit Pistons,Miami Heat,2023-10-25
9,Joe Harris,11:46,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,-5,Detroit Pistons,Miami Heat,2023-10-25
10,Marcus Sasser,10:23,3,4,.750,2,3,.667,0,0,,0,2,2,1,0,0,1,0,8,+2,Detroit Pistons,Miami Heat,2023-10-25
11,Malcolm Cazalon,0:0,Detroit Pistons,Miami Heat,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jared Rhoden,0:0,Detroit Pistons,Miami Heat,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Stanley Umude,0:0,Detroit Pistons,Miami Heat,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,James Wiseman,0:0,Detroit Pistons,Miami Heat,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
