,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Shai Gilgeous-Alexander,28:53,.640,.563,.000,.500,6.0,17.0,10.6,36.1,0.0,3.1,13.3,31.9,123,141,5.6,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
1,Jalen Williams,26:58,.450,.450,.300,.000,3.2,9.1,5.7,40.3,0.0,0.0,16.7,18.2,102,145,-5.2,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
2,Josh Giddey,22:51,.370,.321,.643,.143,3.8,10.8,6.7,19.9,2.0,0.0,6.3,28.5,86,140,-5.4,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
3,Chet Holmgren,22:00,.742,.714,.429,.571,15.9,44.8,27.9,0.0,0.0,4.1,0.0,16.3,161,135,3.3,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
4,Luguentz Dort,17:49,.357,.357,.857,.000,0.0,0.0,0.0,16.5,0.0,0.0,22.2,20.7,66,146,-15.6,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
6,Cason Wallace,25:27,.631,.591,.636,.182,0.0,9.7,4.0,0.0,1.8,0.0,7.8,20.7,113,140,-1.8,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
7,Aaron Wiggins,21:55,.717,.625,.500,.500,4.0,16.8,9.3,0.0,4.2,0.0,0.0,9.1,154,134,-0.9,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
8,Isaiah Joe,16:18,.500,.500,.667,.000,0.0,7.6,3.1,9.2,0.0,0.0,0.0,15.1,108,145,-4.3,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
9,Lindy Waters III,13:38,.750,.750,.833,.000,0.0,27.1,11.2,12.8,0.0,6.6,0.0,18.0,146,137,9.5,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
10,Ousmane Dieng,13:30,.167,.167,.556,.000,0.0,0.0,0.0,20.6,0.0,6.7,10.0,30.3,45,142,-17.9,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
11,Kenrich Williams,13:17,.000,.000,.500,.000,6.6,0.0,3.8,19.0,0.0,0.0,0.0,6.2,78,145,-15.0,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
12,Olivier Sarr,7:56,.752,.750,.000,.750,22.0,15.5,19.3,0.0,0.0,0.0,0.0,27.5,160,144,9.3,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
13,Aleksej Pokusevski,5:44,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0,147,-15.8,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
14,Jaylin Williams,3:44,.000,.000,1.000,.000,0.0,65.9,27.4,0.0,12.4,0.0,0.0,11.0,0,107,-2.2,Oklahoma City Thunder,Dallas Mavericks,2024-02-10
