,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Jeremy Sochan,33:58,.563,.563,.250,.000,10.6,15.3,12.8,9.0,1.4,0.0,11.1,11.9,117,119,-2.7,San Antonio Spurs,Chicago Bulls,2023-12-21
1,Keldon Johnson,32:19,.384,.385,.154,.231,7.4,16.1,11.6,10.0,0.0,0.0,17.3,24.0,75,121,-14.7,San Antonio Spurs,Chicago Bulls,2023-12-21
2,Devin Vassell,31:22,.626,.567,.533,.267,3.8,12.4,7.9,11.6,1.6,0.0,5.6,25.4,125,119,3.0,San Antonio Spurs,Chicago Bulls,2023-12-21
3,Malaki Branham,29:16,.591,.591,.364,.000,0.0,26.6,12.8,12.1,0.0,0.0,21.4,21.5,92,121,-7.5,San Antonio Spurs,Chicago Bulls,2023-12-21
4,Victor Wembanyama,22:13,.376,.375,.125,.375,0.0,29.2,14.0,35.4,4.4,10.5,17.7,22.8,83,100,4.7,San Antonio Spurs,Chicago Bulls,2023-12-21
6,Zach Collins,27:50,.643,.600,.400,.200,12.9,28.0,20.2,12.2,0.0,8.3,8.4,19.1,130,112,5.0,San Antonio Spurs,Chicago Bulls,2023-12-21
7,Tre Jones,21:01,.750,.750,.167,.000,0.0,6.2,3.0,24.6,2.3,0.0,45.5,23.5,80,118,-7.4,San Antonio Spurs,Chicago Bulls,2023-12-21
8,Doug McDermott,11:34,.375,.375,1.000,.000,0.0,0.0,0.0,12.6,4.3,0.0,0.0,15.5,91,114,-7.9,San Antonio Spurs,Chicago Bulls,2023-12-21
9,Cedi Osman,11:14,.205,.000,.750,.500,0.0,11.5,5.5,34.6,0.0,0.0,29.1,27.5,55,122,-19.0,San Antonio Spurs,Chicago Bulls,2023-12-21
10,Julian Champagnie,10:49,1.500,1.500,1.000,.000,0.0,12.0,5.8,0.0,0.0,7.2,50.0,8.3,89,115,-1.1,San Antonio Spurs,Chicago Bulls,2023-12-21
11,Sidy Cissoko,2:48,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-9.1,San Antonio Spurs,Chicago Bulls,2023-12-21
12,Sandro Mamukelashvili,2:48,,,,,0.0,46.3,22.3,0.0,0.0,0.0,,0.0,0,119,-7.7,San Antonio Spurs,Chicago Bulls,2023-12-21
13,Blake Wesley,2:48,.798,1.000,.000,2.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,30.1,179,123,31.1,San Antonio Spurs,Chicago Bulls,2023-12-21
14,Devonte' Graham,0:0,San Antonio Spurs,Chicago Bulls,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
