,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Dennis Smith Jr.,30:02,7,17,.412,0,4,.000,0,0,,1,6,7,8,1,0,2,0,14,-11,Milwaukee Bucks,Brooklyn Nets,2023-12-27
1,Day'Ron Sharpe,16:24,5,6,.833,1,1,1.000,1,2,.500,2,2,4,4,0,1,0,3,12,+2,Milwaukee Bucks,Brooklyn Nets,2023-12-27
2,Mikal Bridges,12:00,3,4,.750,0,1,.000,0,0,,0,3,3,1,1,0,1,0,6,-1,Milwaukee Bucks,Brooklyn Nets,2023-12-27
3,Cam Thomas,11:55,4,9,.444,0,2,.000,0,0,,0,0,0,0,1,0,0,1,8,-1,Milwaukee Bucks,Brooklyn Nets,2023-12-27
4,Royce O'Neale,10:00,1,4,.250,1,3,.333,0,0,,0,1,1,2,0,0,0,1,3,+1,Milwaukee Bucks,Brooklyn Nets,2023-12-27
6,Jalen Wilson,29:51,5,13,.385,0,3,.000,11,11,1.000,7,3,10,2,0,0,1,4,21,-14,Milwaukee Bucks,Brooklyn Nets,2023-12-27
7,Armoni Brooks,28:53,4,14,.286,3,9,.333,1,2,.500,2,2,4,2,1,0,2,1,12,-12,Milwaukee Bucks,Brooklyn Nets,2023-12-27
8,Trendon Watford,27:53,6,9,.667,0,1,.000,5,6,.833,0,5,5,4,2,0,1,1,17,-15,Milwaukee Bucks,Brooklyn Nets,2023-12-27
9,Noah Clowney,24:04,6,9,.667,0,1,.000,2,2,1.000,3,1,4,2,0,0,1,3,14,-19,Milwaukee Bucks,Brooklyn Nets,2023-12-27
10,Dariq Whitehead,21:24,1,5,.200,0,3,.000,0,0,,0,4,4,3,0,0,0,0,2,-16,Milwaukee Bucks,Brooklyn Nets,2023-12-27
11,Keon Johnson,20:54,3,8,.375,2,4,.500,4,4,1.000,0,1,1,1,1,1,1,1,12,-18,Milwaukee Bucks,Brooklyn Nets,2023-12-27
12,Harry Giles,6:40,0,3,.000,0,0,,1,2,.500,2,2,4,0,0,0,0,2,1,-6,Milwaukee Bucks,Brooklyn Nets,2023-12-27
