,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Jaden Ivey,32:40,.536,.471,.529,.471,15.6,0.0,8.7,29.7,2.9,0.0,16.3,31.3,112,128,-1.6,Sacramento Kings,Detroit Pistons,2024-01-09
1,Bojan Bogdanović,32:35,.849,.857,.500,.214,3.1,15.9,8.8,11.7,4.3,0.0,16.4,23.4,132,123,8.9,Sacramento Kings,Detroit Pistons,2024-01-09
2,Killian Hayes,30:44,.410,.250,.250,.500,3.3,12.7,7.4,28.4,1.5,0.0,55.1,14.7,72,129,-12.3,Sacramento Kings,Detroit Pistons,2024-01-09
3,Jalen Duren,23:58,.571,.571,.000,.000,12.8,37.9,23.8,25.1,0.0,0.0,17.6,29.5,105,128,-5.6,Sacramento Kings,Detroit Pistons,2024-01-09
4,Isaiah Livers,15:10,.500,.500,.667,.000,6.7,0.0,3.8,17.2,0.0,0.0,0.0,8.2,140,135,-2.2,Sacramento Kings,Detroit Pistons,2024-01-09
6,James Wiseman,24:02,.667,.667,.000,.000,4.2,21.6,11.9,5.5,0.0,3.3,25.0,6.9,111,129,-7.2,Sacramento Kings,Detroit Pistons,2024-01-09
7,Alec Burks,20:10,.606,.591,.636,.455,0.0,19.3,8.5,8.5,2.3,0.0,13.2,31.4,105,127,-0.7,Sacramento Kings,Detroit Pistons,2024-01-09
8,Kevin Knox,19:40,.474,.438,.500,.125,5.2,6.6,5.8,7.5,2.4,0.0,19.2,22.1,87,129,-9.5,Sacramento Kings,Detroit Pistons,2024-01-09
9,Marcus Sasser,18:33,.205,.000,.500,.500,0.0,14.0,6.2,25.9,2.5,4.2,0.0,11.0,94,124,-4.9,Sacramento Kings,Detroit Pistons,2024-01-09
10,Ausar Thompson,13:31,.000,.000,.000,.000,0.0,19.2,8.5,0.0,10.3,0.0,0.0,6.2,0,109,-7.3,Sacramento Kings,Detroit Pistons,2024-01-09
11,Joe Harris,8:57,.900,.900,1.000,.000,0.0,14.5,6.4,0.0,0.0,0.0,0.0,23.3,159,132,10.4,Sacramento Kings,Detroit Pistons,2024-01-09
12,Marvin Bagley III,0:0,Sacramento Kings,Detroit Pistons,2024-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Isaiah Stewart,Did Not Dress,Sacramento Kings,Detroit Pistons,2024-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
