,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Tyler Herro,34:30,7,24,.292,2,7,.286,0,0,,0,2,2,3,3,0,2,1,16,+6,Detroit Pistons,Miami Heat,2023-10-25
1,Jimmy Butler,34:28,6,18,.333,0,0,,7,9,.778,8,5,13,4,2,0,0,0,19,-3,Detroit Pistons,Miami Heat,2023-10-25
2,Bam Adebayo,32:09,7,13,.538,0,0,,8,10,.800,2,6,8,3,0,2,2,3,22,-4,Detroit Pistons,Miami Heat,2023-10-25
3,Kyle Lowry,31:52,0,1,.000,0,0,,0,0,,0,2,2,2,2,1,0,4,0,+4,Detroit Pistons,Miami Heat,2023-10-25
4,Kevin Love,27:44,4,9,.444,3,6,.500,2,2,1.000,2,8,10,2,0,0,1,5,13,+5,Detroit Pistons,Miami Heat,2023-10-25
6,Duncan Robinson,22:06,6,10,.600,3,5,.600,0,0,,1,1,2,1,0,0,0,1,15,-3,Detroit Pistons,Miami Heat,2023-10-25
7,Caleb Martin,19:30,1,7,.143,0,3,.000,0,0,,1,2,3,1,1,0,0,1,2,-5,Detroit Pistons,Miami Heat,2023-10-25
8,Thomas Bryant,15:50,2,5,.400,0,0,,4,5,.800,2,4,6,3,1,0,1,0,8,+5,Detroit Pistons,Miami Heat,2023-10-25
9,Jaime Jaquez Jr.,13:11,3,3,1.000,0,0,,0,0,,0,2,2,2,2,0,1,2,6,+4,Detroit Pistons,Miami Heat,2023-10-25
10,Dru Smith,8:40,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,-4,Detroit Pistons,Miami Heat,2023-10-25
11,Jamal Cain,0:0,Detroit Pistons,Miami Heat,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,R.J. Hampton,0:0,Detroit Pistons,Miami Heat,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Nikola Jović,0:0,Detroit Pistons,Miami Heat,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Orlando Robinson,0:0,Detroit Pistons,Miami Heat,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
