,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Tyrese Maxey,39:21,9,19,.474,2,7,.286,9,9,1.000,0,6,6,11,3,1,0,3,29,+17,Philadelphia76ers,Detroit Pistons,2023-11-10
1,Tobias Harris,37:46,8,15,.533,2,3,.667,6,6,1.000,1,4,5,2,0,1,3,1,24,+10,Philadelphia76ers,Detroit Pistons,2023-11-10
2,Joel Embiid,35:48,8,21,.381,1,4,.250,16,19,.842,7,9,16,3,0,2,5,3,33,+1,Philadelphia76ers,Detroit Pistons,2023-11-10
3,De'Anthony Melton,29:42,3,9,.333,2,6,.333,2,4,.500,0,3,3,2,3,1,0,3,10,+15,Philadelphia76ers,Detroit Pistons,2023-11-10
4,Kelly Oubre Jr.,26:23,3,9,.333,0,3,.000,2,3,.667,2,6,8,1,2,0,0,3,8,+7,Philadelphia76ers,Detroit Pistons,2023-11-10
6,Nicolas Batum,26:28,1,2,.500,1,2,.500,0,0,,1,2,3,3,1,0,0,4,3,+13,Philadelphia76ers,Detroit Pistons,2023-11-10
7,Robert Covington,14:25,1,3,.333,1,3,.333,0,0,,0,0,0,0,4,0,0,0,3,+3,Philadelphia76ers,Detroit Pistons,2023-11-10
8,Paul Reed,12:12,1,2,.500,0,0,,0,0,,0,4,4,0,0,0,0,3,2,+7,Philadelphia76ers,Detroit Pistons,2023-11-10
9,Marcus Morris,6:02,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-10,Philadelphia76ers,Detroit Pistons,2023-11-10
10,Patrick Beverley,5:17,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-8,Philadelphia76ers,Detroit Pistons,2023-11-10
11,Jaden Springer,4:49,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-6,Philadelphia76ers,Detroit Pistons,2023-11-10
12,Furkan Korkmaz,1:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9,Philadelphia76ers,Detroit Pistons,2023-11-10
13,Mo Bamba,0:0,Philadelphia76ers,Detroit Pistons,2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Danuel House Jr.,0:0,Philadelphia76ers,Detroit Pistons,2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,KJ Martin,0:0,Philadelphia76ers,Detroit Pistons,2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
