,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Kyrie Irving,36:15,10,24,.417,1,8,.125,1,1,1.000,0,2,2,6,1,0,2,3,22,+1,Dallas Mavericks,San Antonio Spurs,2023-10-25
1,Grant Williams,35:10,6,11,.545,4,8,.500,1,1,1.000,1,5,6,0,0,1,3,4,17,+2,Dallas Mavericks,San Antonio Spurs,2023-10-25
2,Luka Dončić,34:14,13,25,.520,3,11,.273,4,7,.571,1,12,13,10,2,0,4,1,33,+4,Dallas Mavericks,San Antonio Spurs,2023-10-25
3,Maxi Kleber,23:03,2,7,.286,2,5,.400,0,0,,2,5,7,2,0,1,0,3,6,-12,Dallas Mavericks,San Antonio Spurs,2023-10-25
4,Derrick Jones Jr.,11:30,0,3,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,1,0,1,-1,Dallas Mavericks,San Antonio Spurs,2023-10-25
6,Dereck Lively II,30:40,7,8,.875,0,0,,2,3,.667,5,5,10,1,1,1,1,4,16,+20,Dallas Mavericks,San Antonio Spurs,2023-10-25
7,Josh Green,29:52,3,5,.600,2,2,1.000,3,4,.750,2,0,2,1,1,0,0,4,11,+4,Dallas Mavericks,San Antonio Spurs,2023-10-25
8,Tim Hardaway Jr.,27:55,5,14,.357,3,10,.300,4,4,1.000,2,4,6,4,1,0,1,0,17,+9,Dallas Mavericks,San Antonio Spurs,2023-10-25
9,Dante Exum,7:35,1,2,.500,0,1,.000,1,1,1.000,0,1,1,0,0,0,0,1,3,+4,Dallas Mavericks,San Antonio Spurs,2023-10-25
10,Seth Curry,3:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4,Dallas Mavericks,San Antonio Spurs,2023-10-25
11,Jaden Hardy,0:0,Dallas Mavericks,San Antonio Spurs,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Richaun Holmes,0:0,Dallas Mavericks,San Antonio Spurs,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Markieff Morris,0:0,Dallas Mavericks,San Antonio Spurs,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Dwight Powell,0:0,Dallas Mavericks,San Antonio Spurs,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Olivier-Maxence Prosper,0:0,Dallas Mavericks,San Antonio Spurs,2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
