,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jayson Tatum,36:37,8,21,.381,5,10,.500,2,2,1.000,2,5,7,3,1,1,2,3,23,-12,Los Angeles Lakers,Boston Celtics,2024-02-01
1,Derrick White,32:44,4,11,.364,1,5,.200,0,0,,1,3,4,6,0,2,2,3,9,-19,Los Angeles Lakers,Boston Celtics,2024-02-01
2,Kristaps Porziņģis,29:29,7,15,.467,1,7,.143,2,2,1.000,1,6,7,3,1,5,3,1,17,-22,Los Angeles Lakers,Boston Celtics,2024-02-01
3,Jrue Holiday,29:10,4,9,.444,0,2,.000,0,0,,2,5,7,7,0,0,4,3,8,-9,Los Angeles Lakers,Boston Celtics,2024-02-01
4,Jaylen Brown,27:24,4,12,.333,0,3,.000,0,0,,3,5,8,7,1,0,3,5,8,-20,Los Angeles Lakers,Boston Celtics,2024-02-01
6,Al Horford,23:48,2,6,.333,2,6,.333,0,0,,0,9,9,1,1,2,0,0,6,+3,Los Angeles Lakers,Boston Celtics,2024-02-01
7,Sam Hauser,22:39,6,11,.545,5,9,.556,0,0,,0,3,3,0,0,0,0,1,17,+6,Los Angeles Lakers,Boston Celtics,2024-02-01
8,Payton Pritchard,21:18,3,6,.500,2,5,.400,0,0,,0,0,0,1,0,1,1,1,8,+13,Los Angeles Lakers,Boston Celtics,2024-02-01
9,Neemias Queta,12:49,3,5,.600,0,0,,1,1,1.000,4,3,7,1,0,1,0,2,7,+7,Los Angeles Lakers,Boston Celtics,2024-02-01
10,Dalano Banton,2:01,0,0,,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,2,+4,Los Angeles Lakers,Boston Celtics,2024-02-01
11,Oshae Brissett,2:01,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,+4,Los Angeles Lakers,Boston Celtics,2024-02-01
12,Svi Mykhailiuk,0:0,Los Angeles Lakers,Boston Celtics,2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Lamar Stevens,0:0,Los Angeles Lakers,Boston Celtics,2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
