,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Giannis Antetokounmpo,38:39,13,24,.542,1,2,.500,5,9,.556,5,8,13,6,1,2,2,4,32,-5,Milwaukee Bucks,New York Knicks,2023-12-25
1,Damian Lillard,37:50,10,21,.476,4,13,.308,8,9,.889,0,1,1,8,1,0,4,2,32,-6,Milwaukee Bucks,New York Knicks,2023-12-25
2,Khris Middleton,33:03,10,20,.500,4,9,.444,0,0,,0,2,2,6,1,0,2,4,24,+9,Milwaukee Bucks,New York Knicks,2023-12-25
3,Brook Lopez,26:44,5,9,.556,2,6,.333,2,2,1.000,2,4,6,1,1,2,0,2,14,-6,Milwaukee Bucks,New York Knicks,2023-12-25
4,Malik Beasley,19:12,0,2,.000,0,1,.000,0,0,,0,3,3,2,0,0,0,2,0,-10,Milwaukee Bucks,New York Knicks,2023-12-25
6,Bobby Portis,30:37,5,11,.455,0,4,.000,2,2,1.000,5,4,9,0,0,0,3,4,12,-3,Milwaukee Bucks,New York Knicks,2023-12-25
7,Pat Connaughton,23:51,1,4,.250,1,4,.250,0,0,,4,3,7,1,1,0,0,3,3,-13,Milwaukee Bucks,New York Knicks,2023-12-25
8,Andre Jackson Jr.,14:10,0,2,.000,0,1,.000,2,2,1.000,1,1,2,1,1,0,0,2,2,-4,Milwaukee Bucks,New York Knicks,2023-12-25
9,Cameron Payne,10:10,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,-1,Milwaukee Bucks,New York Knicks,2023-12-25
10,MarJon Beauchamp,5:44,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,+4,Milwaukee Bucks,New York Knicks,2023-12-25
11,Thanasis Antetokounmpo,0:0,Milwaukee Bucks,New York Knicks,2023-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,A.J. Green,0:0,Milwaukee Bucks,New York Knicks,2023-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Chris Livingston,0:0,Milwaukee Bucks,New York Knicks,2023-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Robin Lopez,0:0,Milwaukee Bucks,New York Knicks,2023-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
