,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Cade Cunningham,35:27,5,15,.333,3,7,.429,4,5,.800,0,2,2,5,0,0,7,1,17,-14
1,Isaiah Stewart,30:50,4,9,.444,2,3,.667,2,2,1.000,0,7,7,1,0,0,2,2,12,-7
2,Ausar Thompson,30:36,6,14,.429,0,2,.000,3,4,.750,7,3,10,3,1,3,3,4,15,-13
3,Killian Hayes,27:22,4,11,.364,1,4,.250,1,2,.500,0,4,4,7,1,1,1,3,10,-15
4,Jalen Duren,23:19,4,11,.364,0,0,,0,1,.000,3,4,7,1,1,0,1,3,8,-8
5,player,,,,,,,,,,,,,,,,,,,,
6,Marvin Bagley III,24:01,3,4,.750,0,0,,7,8,.875,1,3,4,1,0,0,0,1,13,0
7,Alec Burks,21:06,4,9,.444,3,4,.750,0,0,,1,1,2,7,0,0,0,3,11,-9
8,Jaden Ivey,19:17,7,13,.538,4,6,.667,2,2,1.000,1,1,2,3,1,1,1,5,20,-4
9,Marcus Sasser,14:02,2,4,.500,2,2,1.000,0,0,,0,2,2,2,1,0,0,1,6,-1
10,Joe Harris,10:22,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-5
11,Jared Rhoden,1:49,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+8
12,Stanley Umude,1:49,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+8
13,Malcolm Cazalon,Did Not Play,,,,,,,,,,,,,,,,,,,
14,James Wiseman,Did Not Play,,,,,,,,,,,,,,,,,,,
