,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Coby White,39:59,.640,.588,.353,.235,2.6,19.5,10.8,34.6,0.0,2.1,9.6,23.6,134,113,7.7
1,DeMar DeRozan,36:50,.425,.333,.000,.400,0.0,12.1,5.9,18.4,5.5,2.3,10.2,24.2,94,103,-0.2
2,Patrick Williams,36:35,.500,.500,.308,.000,0.0,18.3,8.8,0.0,0.0,2.3,0.0,16.2,102,113,-4.0
3,Nikola Vučević,33:34,.639,.639,.389,.000,9.3,16.6,12.9,20.6,0.0,5.1,10.0,27.1,125,112,6.3
4,Ayo Dosunmu,19:22,.515,.333,.333,.667,16.2,5.8,11.1,6.3,2.6,4.4,34.0,13.8,101,109,-2.5
5,player,,,,,,,,,,,,,,,,
6,Alex Caruso,30:31,.592,.625,.375,.125,0.0,14.6,7.1,18.4,1.7,5.6,19.2,15.6,105,108,-0.9
7,Jevon Carter,18:17,.545,.545,.727,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,109,120,-2.3
8,Andre Drummond,14:24,.644,.667,.000,.667,21.7,38.8,30.0,0.0,3.5,6.0,0.0,12.2,154,97,6.5
9,Dalen Terry,10:28,1.000,1.000,.000,.000,10.0,21.3,15.5,12.3,0.0,0.0,0.0,4.3,213,114,-0.3
10,Torrey Craig,Did Not Dress,,,,,,,,,,,,,,,
11,Julian Phillips,Did Not Play,,,,,,,,,,,,,,,
12,Terry Taylor,Did Not Play,,,,,,,,,,,,,,,
