,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Klay Thompson,32:38,.827,.800,.600,.200,0.0,13.8,6.3,3.7,0.0,0.0,8.4,14.5,150,137,-1.3,Golden State Warriors,Oklahoma City Thunder,2023-11-03
1,Stephen Curry,31:23,.830,.767,.667,.467,12.1,23.9,17.5,30.4,2.9,0.0,14.2,26.8,157,129,15.2,Golden State Warriors,Oklahoma City Thunder,2023-11-03
2,Draymond Green,28:58,.609,.545,.364,.273,8.7,15.5,11.8,12.2,0.0,3.1,19.6,21.1,116,134,-6.5,Golden State Warriors,Oklahoma City Thunder,2023-11-03
3,Andrew Wiggins,26:32,.585,.545,.091,.727,19.0,5.7,12.9,4.7,0.0,0.0,0.0,21.9,141,138,-4.2,Golden State Warriors,Oklahoma City Thunder,2023-11-03
4,Kevon Looney,11:27,.694,.500,.000,1.000,11.0,26.2,18.0,37.4,4.0,7.8,41.0,17.0,124,120,5.9,Golden State Warriors,Oklahoma City Thunder,2023-11-03
6,Chris Paul,27:47,.073,.000,.333,.333,0.0,10.8,4.9,45.8,3.3,0.0,0.0,9.9,122,130,-2.8,Golden State Warriors,Oklahoma City Thunder,2023-11-03
7,Gary Payton II,22:04,.750,.750,.500,.000,0.0,20.4,9.3,5.4,4.2,0.0,14.3,12.7,126,127,0.5,Golden State Warriors,Oklahoma City Thunder,2023-11-03
8,Jonathan Kuminga,21:48,.598,.600,.133,.133,5.8,6.9,6.3,7.5,0.0,0.0,15.9,34.6,102,138,-11.5,Golden State Warriors,Oklahoma City Thunder,2023-11-03
9,Dario Šarić,19:48,.929,.889,.778,.444,6.4,37.9,20.8,21.1,2.3,0.0,8.5,23.7,175,129,17.8,Golden State Warriors,Oklahoma City Thunder,2023-11-03
10,Moses Moody,17:31,.571,.571,.714,.000,7.2,0.0,3.9,13.4,2.6,0.0,12.5,18.2,120,132,-3.3,Golden State Warriors,Oklahoma City Thunder,2023-11-03
11,Usman Garuba,0:0,Golden State Warriors,Oklahoma City Thunder,2023-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Cory Joseph,0:0,Golden State Warriors,Oklahoma City Thunder,2023-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jerome Robinson,0:0,Golden State Warriors,Oklahoma City Thunder,2023-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
