,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Desmond Bane,36:08,11,22,.500,5,10,.500,4,5,.800,0,5,5,5,2,1,2,1,31,+6
1,Jaren Jackson Jr.,35:43,2,9,.222,0,5,.000,4,4,1.000,1,4,5,3,0,5,3,5,8,-1
2,Xavier Tillman Sr.,33:42,7,16,.438,1,5,.200,2,2,1.000,4,8,12,4,3,1,0,2,17,+3
3,Marcus Smart,32:07,6,11,.545,2,6,.333,3,6,.500,0,0,0,3,2,0,5,3,17,+3
4,Ziaire Williams,29:16,4,7,.571,1,3,.333,0,0,,0,4,4,0,0,0,1,2,9,-8
5,player,,,,,,,,,,,,,,,,,,,,
6,David Roddy,27:53,4,7,.571,1,3,.333,0,0,,1,4,5,2,0,0,1,2,9,-3
7,Derrick Rose,15:53,3,11,.273,2,4,.500,0,0,,1,1,2,3,0,0,0,0,8,-10
8,Luke Kennard,14:40,0,5,.000,0,5,.000,3,3,1.000,1,1,2,2,0,0,1,0,3,-14
9,Jake LaRavia,14:38,1,3,.333,0,2,.000,0,0,,0,2,2,1,1,0,0,4,2,-11
10,Jacob Gilyard,Did Not Play,,,,,,,,,,,,,,,,,,,
11,GG Jackson II,Did Not Play,,,,,,,,,,,,,,,,,,,
12,John Konchar,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Kenneth Lofton Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Ja Morant,Not With Team,,,,,,,,,,,,,,,,,,,
15,Vince Williams Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
