,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Anthony Edwards,33:04,10,22,.455,2,8,.250,4,5,.800,0,3,3,8,3,2,3,1,26,+35,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
1,Rudy Gobert,32:16,4,5,.800,0,0,,9,12,.750,5,16,21,1,0,2,4,2,17,+24,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
2,Karl-Anthony Towns,27:44,9,12,.750,4,5,.800,1,2,.500,0,3,3,0,0,1,3,6,23,+12,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
3,Jaden McDaniels,25:30,4,7,.571,2,5,.400,0,0,,0,0,0,3,0,0,0,2,10,+18,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
4,Mike Conley,21:29,4,5,.800,4,5,.800,0,0,,0,4,4,4,1,0,0,2,12,+16,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
6,Kyle Anderson,25:18,2,3,.667,1,2,.500,1,2,.500,0,2,2,5,1,2,2,2,6,+16,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
7,Naz Reid,21:46,4,8,.500,1,4,.250,0,0,,1,3,4,0,1,0,0,2,9,+17,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
8,Shake Milton,18:59,4,9,.444,1,5,.200,1,1,1.000,0,4,4,1,2,0,2,1,10,+4,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
9,Nickeil Alexander-Walker,18:06,0,1,.000,0,1,.000,0,0,,0,4,4,8,1,0,2,0,0,-13,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
10,Luka Garza,4:54,2,4,.500,0,0,,1,2,.500,1,1,2,0,0,0,0,3,5,-6,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
11,Troy Brown Jr.,4:54,2,5,.400,0,1,.000,0,0,,1,0,1,0,0,0,0,0,4,-6,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
12,Josh Minott,3:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-6,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
13,Daishen Nix,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6,New Orleans Pelicans,Minnesota Timberwolves,2023-11-08
