,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Domantas Sabonis,39:24,.486,.500,.067,.067,12.7,17.4,14.9,15.1,2.4,7.5,11.5,18.0,115,104,1.7
1,De'Aaron Fox,37:07,.520,.484,.219,.188,5.4,15.4,10.1,50.2,1.3,0.0,5.5,40.2,125,112,8.0
2,Harrison Barnes,33:18,.758,.727,.364,.182,0.0,13.7,6.4,7.4,1.4,0.0,14.4,17.0,133,112,4.1
3,Kevin Huerter,24:27,.625,.625,.625,.000,4.1,4.7,4.4,14.3,0.0,4.0,0.0,13.3,149,116,5.2
4,Chris Duarte,21:33,.000,.000,.667,.000,9.3,15.9,12.4,0.0,2.2,0.0,40.0,9.5,30,110,-12.3
5,player,,,,,,,,,,,,,,,,
6,Malik Monk,29:39,.571,.536,.429,.143,0.0,7.7,3.6,0.0,1.6,0.0,16.8,24.6,97,113,-5.5
7,Trey Lyles,19:09,.750,.750,1.000,.000,5.2,35.8,19.5,0.0,0.0,0.0,14.3,14.9,130,109,2.8
8,Kessler Edwards,18:08,.714,.714,.429,.000,5.5,6.3,5.9,6.9,2.6,0.0,0.0,15.7,155,111,8.4
9,Davion Mitchell,9:06,1.250,1.250,.500,.000,0.0,0.0,0.0,13.7,0.0,0.0,33.3,13.4,148,119,5.5
10,JaVale McGee,8:05,1.000,1.000,.000,.000,24.7,56.6,39.6,16.0,0.0,0.0,0.0,10.1,213,103,13.8
11,Colby Jones,Did Not Play,,,,,,,,,,,,,,,
12,Filip Petrušev,Did Not Play,,,,,,,,,,,,,,,
13,Jalen Slawson,Did Not Play,,,,,,,,,,,,,,,
14,Sasha Vezenkov,Did Not Play,,,,,,,,,,,,,,,
