,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,James Harden,38:23,.771,.773,.545,.273,3.3,23.7,13.3,21.9,1.3,2.2,24.5,18.8,119,118,6.2
1,Kawhi Leonard,33:12,.555,.450,.300,.800,3.8,19.5,11.6,19.1,3.0,2.6,18.2,22.0,106,115,3.7
2,Paul George,28:21,.227,.200,.533,.067,0.0,4.6,2.3,21.9,3.5,0.0,16.3,28.8,55,118,-14.7
3,Terance Mann,25:06,.500,.500,.200,.000,10.1,15.5,12.7,5.9,0.0,0.0,28.6,12.3,88,124,-6.8
4,Ivica Zubac,21:09,.949,1.000,.000,.600,6.0,42.9,24.2,9.2,0.0,0.0,0.0,13.2,196,120,11.7
5,player,,,,,,,,,,,,,,,,
6,Norman Powell,25:47,.605,.571,.500,.143,0.0,5.0,2.5,0.0,1.9,0.0,6.3,27.3,109,122,1.8
7,Amir Coffey,21:20,.820,.750,1.000,.500,0.0,0.0,0.0,21.4,0.0,0.0,0.0,10.1,178,127,7.9
8,Russell Westbrook,17:46,.286,.286,.286,.000,14.2,7.3,10.8,35.3,2.8,0.0,30.0,24.9,72,119,-8.4
9,Mason Plumlee,15:06,1.034,1.000,.000,.750,8.4,17.2,12.7,13.7,0.0,0.0,27.3,21.5,145,123,2.2
10,Daniel Theis,6:56,.532,.000,.000,2.000,0.0,18.7,9.2,0.0,0.0,0.0,0.0,12.0,123,123,-5.8
11,Brandon Boston Jr.,3:27,.532,.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,34.7,37.0,75,127,-17.8
12,Kobe Brown,3:27,1.500,1.500,1.000,.000,0.0,37.6,18.6,0.0,0.0,0.0,0.0,12.8,300,121,27.7
13,Bones Hyland,Did Not Play,,,,,,,,,,,,,,,
14,P.J. Tucker,Did Not Play,,,,,,,,,,,,,,,
