,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jaime Jaquez Jr.,39:29,11,15,.733,1,3,.333,8,8,1.000,5,5,10,1,2,0,0,3,31,-1
1,Tyler Herro,37:59,8,25,.320,4,11,.364,2,3,.667,2,4,6,5,1,1,4,1,22,-5
2,Bam Adebayo,36:14,9,15,.600,0,0,,8,12,.667,3,12,15,5,0,3,4,1,26,0
3,Kyle Lowry,33:25,5,7,.714,1,3,.333,1,1,1.000,0,1,1,4,1,2,3,4,12,0
4,Caleb Martin,8:43,0,0,,0,0,,1,2,.500,1,4,5,1,0,0,2,1,1,-5
5,player,,,,,,,,,,,,,,,,,,,,
6,Duncan Robinson,34:03,5,13,.385,5,10,.500,1,1,1.000,0,4,4,2,1,0,0,3,16,+26
7,R.J. Hampton,17:26,0,4,.000,0,3,.000,0,0,,0,0,0,4,0,0,0,0,0,-9
8,Jamal Cain,16:42,0,2,.000,0,0,,3,4,.750,1,4,5,0,0,1,0,4,3,+16
9,Kevin Love,15:59,2,3,.667,1,2,.500,3,4,.750,1,9,10,5,0,0,1,0,8,+8
10,Thomas Bryant,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Nikola Jović,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Cole Swider,Did Not Play,,,,,,,,,,,,,,,,,,,
