,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Fred VanVleet,42:36,9,16,.563,8,12,.667,7,8,.875,0,3,3,10,1,1,5,3,33,-3
1,Jalen Green,36:27,12,19,.632,5,9,.556,2,4,.500,0,6,6,4,0,0,1,0,31,-7
2,Jae'Sean Tate,35:18,2,4,.500,0,1,.000,0,0,,1,4,5,2,0,0,0,3,4,+4
3,Alperen Şengün,34:20,12,16,.750,1,2,.500,3,4,.750,3,4,7,8,1,1,5,6,28,+12
4,Jeff Green,32:52,5,11,.455,0,2,.000,0,1,.000,2,2,4,0,1,1,0,2,10,-7
5,player,,,,,,,,,,,,,,,,,,,,
6,Tari Eason,27:18,5,13,.385,0,2,.000,0,0,,5,6,11,2,3,2,2,3,10,-8
7,Aaron Holiday,14:53,2,6,.333,0,2,.000,0,0,,1,1,2,3,2,0,3,2,4,-5
8,Amen Thompson,8:40,0,1,.000,0,0,,1,2,.500,1,2,3,1,0,0,0,1,1,0
9,Jock Landale,7:36,2,5,.400,0,0,,2,2,1.000,1,0,1,0,0,1,0,4,6,-6
10,Reggie Bullock,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Boban Marjanović,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Cam Whitmore,Did Not Play,,,,,,,,,,,,,,,,,,,
