,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Ausar Thompson,28:55,.731,.731,.154,.000,2.9,4.1,3.4,0.0,1.6,0.0,7.1,18.5,130,123,0.1,Detroit Pistons,Los Angeles Lakers,2024-02-13
1,Jaden Ivey,28:39,.422,.344,.375,.250,0.0,8.4,3.5,22.9,3.2,3.4,10.1,26.4,93,116,-2.9,Detroit Pistons,Los Angeles Lakers,2024-02-13
2,Simone Fontecchio,25:41,.581,.667,.667,.333,3.3,14.0,7.7,19.0,0.0,0.0,0.0,10.2,133,125,0.4,Detroit Pistons,Los Angeles Lakers,2024-02-13
3,Cade Cunningham,25:07,.358,.267,.133,.267,3.4,28.7,13.8,35.8,0.0,0.0,0.0,25.5,102,123,-3.0,Detroit Pistons,Los Angeles Lakers,2024-02-13
4,Jalen Duren,23:18,.444,.444,.000,.000,14.5,20.6,17.0,0.0,2.0,0.0,10.0,16.4,98,119,-9.2,Detroit Pistons,Los Angeles Lakers,2024-02-13
6,Evan Fournier,24:31,.604,.556,.556,.444,3.4,14.7,8.1,5.3,3.8,0.0,15.7,19.9,107,116,-0.5,Detroit Pistons,Los Angeles Lakers,2024-02-13
7,James Wiseman,23:03,.676,.667,.000,.250,18.3,20.8,19.3,14.7,0.0,4.2,7.0,23.8,136,121,5.7,Detroit Pistons,Los Angeles Lakers,2024-02-13
8,Shake Milton,18:55,.444,.444,.111,.000,8.9,25.4,15.7,29.1,0.0,0.0,10.0,20.2,104,123,-1.2,Detroit Pistons,Los Angeles Lakers,2024-02-13
9,Marcus Sasser,17:45,.150,.150,.300,.000,4.7,13.5,8.4,32.0,2.6,0.0,16.7,25.9,54,119,-13.9,Detroit Pistons,Los Angeles Lakers,2024-02-13
10,Troy Brown Jr.,17:17,.500,.500,.429,.000,4.9,20.8,11.5,15.1,0.0,0.0,0.0,15.5,119,124,-1.1,Detroit Pistons,Los Angeles Lakers,2024-02-13
11,Mike Muscala,4:31,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,10.2,0.0,0.0,16.9,0,104,-13.5,Detroit Pistons,Los Angeles Lakers,2024-02-13
12,Malachi Flynn,2:18,,,,,0.0,52.2,21.5,0.0,0.0,0.0,,0.0,0,119,-8.4,Detroit Pistons,Los Angeles Lakers,2024-02-13
13,Tosan Evbuomwan,0:0,Detroit Pistons,Los Angeles Lakers,2024-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
