,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Keldon Johnson,36:56,8,18,.444,3,10,.300,1,1,1.000,0,12,12,6,1,1,1,2,20,+7
1,Victor Wembanyama,34:24,8,22,.364,2,9,.222,0,0,,1,10,11,7,1,1,7,3,18,+5
2,Jeremy Sochan,33:55,6,9,.667,2,3,.667,2,2,1.000,1,4,5,3,0,2,3,4,16,-5
3,Zach Collins,33:13,6,14,.429,1,4,.250,5,6,.833,2,3,5,2,0,1,3,4,18,+5
4,Devin Vassell,33:13,5,12,.417,4,9,.444,0,0,,2,5,7,4,0,0,1,0,14,-15
5,player,,,,,,,,,,,,,,,,,,,,
6,Doug McDermott,21:14,3,4,.750,2,3,.667,0,0,,1,2,3,5,0,0,0,2,8,-3
7,Malaki Branham,20:29,4,7,.571,4,5,.800,1,1,1.000,0,1,1,7,0,0,1,2,13,0
8,Cedi Osman,20:14,1,3,.333,1,1,1.000,0,0,,1,0,1,0,0,1,0,2,3,-15
9,Charles Bassey,6:21,1,2,.500,0,0,,1,2,.500,3,2,5,1,1,0,1,2,3,-4
10,Julian Champagnie,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Devonte' Graham,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Sandro Mamukelashvili,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Blake Wesley,Did Not Play,,,,,,,,,,,,,,,,,,,
