,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Keegan Murray,31:16,6,14,.429,0,5,.000,5,6,.833,0,7,7,1,3,0,0,2,17,-21,Sacramento Kings,Los Angeles Clippers,2023-12-12
1,Domantas Sabonis,25:44,5,11,.455,0,2,.000,5,8,.625,5,5,10,3,2,0,2,3,15,-23,Sacramento Kings,Los Angeles Clippers,2023-12-12
2,De'Aaron Fox,25:02,5,16,.313,3,7,.429,1,1,1.000,0,3,3,3,0,0,4,3,14,-14,Sacramento Kings,Los Angeles Clippers,2023-12-12
3,Harrison Barnes,18:53,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,0,2,2,-13,Sacramento Kings,Los Angeles Clippers,2023-12-12
4,Kevin Huerter,16:31,1,8,.125,1,4,.250,0,0,,0,4,4,3,1,0,0,1,3,-8,Sacramento Kings,Los Angeles Clippers,2023-12-12
6,Malik Monk,21:38,3,8,.375,2,5,.400,0,0,,0,0,0,5,0,0,4,4,8,-20,Sacramento Kings,Los Angeles Clippers,2023-12-12
7,Trey Lyles,20:18,1,4,.250,0,3,.000,1,2,.500,1,5,6,3,1,0,0,1,3,-19,Sacramento Kings,Los Angeles Clippers,2023-12-12
8,Sasha Vezenkov,20:00,4,7,.571,1,3,.333,0,0,,0,3,3,3,1,0,0,0,9,+2,Sacramento Kings,Los Angeles Clippers,2023-12-12
9,Davion Mitchell,14:36,0,3,.000,0,1,.000,1,2,.500,0,0,0,2,0,0,0,1,1,-14,Sacramento Kings,Los Angeles Clippers,2023-12-12
10,Chris Duarte,12:00,1,3,.333,0,2,.000,4,4,1.000,0,2,2,1,0,1,0,1,6,+9,Sacramento Kings,Los Angeles Clippers,2023-12-12
11,Keon Ellis,11:35,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,1,2,0,3,+5,Sacramento Kings,Los Angeles Clippers,2023-12-12
12,Kessler Edwards,8:10,3,3,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,7,+12,Sacramento Kings,Los Angeles Clippers,2023-12-12
13,Jordan Ford,8:10,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,5,+12,Sacramento Kings,Los Angeles Clippers,2023-12-12
14,JaVale McGee,6:07,3,3,1.000,0,0,,0,1,.000,1,0,1,0,0,0,1,1,6,-8,Sacramento Kings,Los Angeles Clippers,2023-12-12
15,Alex Len,0:0,Sacramento Kings,Los Angeles Clippers,2023-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
