,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Karl-Anthony Towns,32:37,5,11,.455,1,3,.333,6,7,.857,3,9,12,1,0,0,1,6,17,-12
1,Troy Brown Jr.,27:18,2,9,.222,1,7,.143,0,0,,0,6,6,2,0,0,0,1,5,-15
2,Mike Conley,27:15,6,11,.545,4,7,.571,1,2,.500,1,4,5,7,0,0,3,1,17,-19
3,Rudy Gobert,25:27,4,8,.500,0,0,,0,0,,2,6,8,0,0,2,2,4,8,-20
4,Nickeil Alexander-Walker,24:25,2,7,.286,1,4,.250,2,2,1.000,0,1,1,5,1,1,3,4,7,-13
5,player,,,,,,,,,,,,,,,,,,,,
6,Jaden McDaniels,27:20,5,12,.417,2,6,.333,0,1,.000,0,3,3,0,0,0,1,4,12,-3
7,Naz Reid,24:18,7,15,.467,3,7,.429,0,0,,3,3,6,2,1,0,0,3,17,0
8,Shake Milton,19:36,4,10,.400,0,1,.000,4,4,1.000,1,0,1,5,0,0,1,4,12,+1
9,Kyle Anderson,18:41,3,6,.500,0,0,,0,0,,1,3,4,3,2,0,0,1,6,+7
10,Jordan McLaughlin,8:23,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,3,+1
11,Josh Minott,1:33,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,+1
12,Wendell Moore Jr.,1:33,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1
13,Daishen Nix,1:33,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,+1
