,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Brandon Ingram,36:00,11,20,.550,1,5,.200,2,2,1.000,1,8,9,7,2,0,2,0,25,+18
1,Herbert Jones,30:37,6,8,.750,2,4,.500,5,6,.833,1,3,4,4,5,2,2,5,19,+8
2,Dyson Daniels,28:41,4,10,.400,2,5,.400,0,0,,1,1,2,6,3,0,1,4,10,+11
3,Zion Williamson,27:06,8,15,.533,0,0,,3,7,.429,3,4,7,5,2,0,2,3,19,+10
4,Jonas Valančiūnas,22:09,3,5,.600,0,2,.000,0,0,,0,3,3,4,1,2,0,1,6,+23
5,player,,,,,,,,,,,,,,,,,,,,
6,Jordan Hawkins,32:46,8,17,.471,5,12,.417,4,4,1.000,2,4,6,3,0,0,0,3,25,+13
7,Naji Marshall,20:35,5,9,.556,1,4,.250,5,5,1.000,2,2,4,2,1,2,1,2,16,+2
8,Matt Ryan,19:57,2,7,.286,2,5,.400,0,0,,0,2,2,0,1,0,0,0,6,+17
9,Jeremiah Robinson-Earl,13:08,1,1,1.000,1,1,1.000,0,0,,1,1,2,2,1,0,3,2,3,+2
10,Cody Zeller,4:51,0,1,.000,0,0,,0,2,.000,1,2,3,0,0,0,1,0,0,+1
11,Kira Lewis Jr.,2:03,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
12,Dereon Seabron,2:03,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0
