,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jonas Valančiūnas,37:06,11,16,.688,2,4,.500,5,6,.833,4,9,13,4,0,2,2,3,29,+5
1,CJ McCollum,35:05,7,18,.389,3,9,.333,2,2,1.000,2,3,5,4,1,1,2,0,19,+4
2,Brandon Ingram,31:52,3,8,.375,0,1,.000,2,2,1.000,0,3,3,7,0,0,9,3,8,+5
3,Zion Williamson,30:22,9,16,.563,0,0,,3,4,.750,3,8,11,4,0,0,1,4,21,-1
4,Herbert Jones,27:49,3,4,.750,1,2,.500,4,6,.667,1,1,2,1,1,1,0,1,11,+2
5,player,,,,,,,,,,,,,,,,,,,,
6,Trey Murphy III,25:12,3,7,.429,1,5,.200,6,6,1.000,0,6,6,2,0,0,0,2,13,+8
7,Jose Alvarado,21:12,1,6,.167,1,3,.333,5,6,.833,1,7,8,1,1,1,1,3,8,+9
8,Dyson Daniels,14:34,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,+7
9,Naji Marshall,12:33,1,4,.250,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,-11
10,Jordan Hawkins,4:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
11,Jeremiah Robinson-Earl,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Cody Zeller,Did Not Play,,,,,,,,,,,,,,,,,,,
