,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Lauri Markkanen,31:57,5,15,.333,4,10,.400,7,8,.875,4,10,14,2,1,2,0,1,21,+8
1,Simone Fontecchio,31:34,2,6,.333,1,5,.200,0,0,,0,3,3,1,1,1,1,4,5,+4
2,John Collins,26:50,8,15,.533,3,7,.429,0,0,,0,3,3,1,1,0,3,3,19,+6
3,Kris Dunn,24:13,2,2,1.000,1,1,1.000,0,0,,1,3,4,13,1,2,1,1,5,+11
4,Collin Sexton,18:13,8,13,.615,3,6,.500,0,0,,0,0,0,3,1,0,0,0,19,+1
5,player,,,,,,,,,,,,,,,,,,,,
6,Jordan Clarkson,31:07,7,14,.500,2,3,.667,5,5,1.000,1,3,4,6,0,1,1,0,21,+13
7,Keyonte George,22:27,7,13,.538,4,9,.444,1,1,1.000,0,6,6,4,0,0,2,0,19,+7
8,Walker Kessler,21:10,3,4,.750,0,0,,2,4,.500,2,4,6,0,1,2,0,1,8,+10
9,Kelly Olynyk,17:26,4,6,.667,2,2,1.000,3,4,.750,2,4,6,3,0,0,2,4,13,+9
10,Ochai Agbaji,15:03,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,+11
11,Talen Horton-Tucker,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Luka Šamanić,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Omer Yurtseven,Did Not Play,,,,,,,,,,,,,,,,,,,
