,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Dorian Finney-Smith,35:17,.545,.545,.727,.000,7.6,17.7,12.2,8.6,1.4,7.4,0.0,13.4,128,95,6.9,Los Angeles Clippers,Brooklyn Nets,2023-11-08
1,Mikal Bridges,34:06,.421,.409,.364,.182,2.6,21.4,11.3,31.4,2.9,5.1,20.2,18.7,92,92,2.9,Los Angeles Clippers,Brooklyn Nets,2023-11-08
2,Royce O'Neale,33:47,.600,.600,.800,.000,7.9,21.6,14.2,9.1,0.0,7.7,0.0,12.7,138,97,7.4,Los Angeles Clippers,Brooklyn Nets,2023-11-08
3,Spencer Dinwiddie,26:14,.394,.375,.875,.250,0.0,11.9,5.5,22.0,0.0,0.0,18.4,17.8,84,105,-7.2,Los Angeles Clippers,Brooklyn Nets,2023-11-08
4,Cam Thomas,20:02,.470,.429,.143,.143,0.0,10.4,4.8,0.0,0.0,4.4,11.8,36.2,83,103,-7.5,Los Angeles Clippers,Brooklyn Nets,2023-11-08
6,Lonnie Walker IV,27:54,.622,.594,.438,.125,0.0,3.7,1.7,0.0,1.8,3.1,0.0,26.0,125,102,8.2,Los Angeles Clippers,Brooklyn Nets,2023-11-08
7,Dennis Smith Jr.,24:35,.286,.286,.429,.000,3.6,0.0,2.0,29.5,4.0,0.0,12.5,14.0,88,100,-4.9,Los Angeles Clippers,Brooklyn Nets,2023-11-08
8,Day'Ron Sharpe,19:16,.533,.444,.000,.333,18.5,32.5,24.9,0.0,2.6,0.0,16.2,27.5,104,92,-4.2,Los Angeles Clippers,Brooklyn Nets,2023-11-08
9,Trendon Watford,18:48,.654,.583,.333,.333,9.5,16.7,12.8,17.4,7.9,0.0,36.8,24.9,93,86,3.6,Los Angeles Clippers,Brooklyn Nets,2023-11-08
10,Armoni Brooks,0:0,Los Angeles Clippers,Brooklyn Nets,2023-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Harry Giles,0:0,Los Angeles Clippers,Brooklyn Nets,2023-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jalen Wilson,0:0,Los Angeles Clippers,Brooklyn Nets,2023-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
