,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Bilal Coulibaly,37:00,8,16,.500,1,4,.250,2,3,.667,2,2,4,2,1,2,1,2,19,-9,Los Angeles Clippers,Washington Wizards,2024-01-31
1,Kyle Kuzma,29:20,11,22,.500,2,4,.500,3,3,1.000,0,2,2,0,0,1,2,2,27,-11,Los Angeles Clippers,Washington Wizards,2024-01-31
2,Tyus Jones,28:59,2,9,.222,0,3,.000,0,0,,0,4,4,7,0,0,3,1,4,-18,Los Angeles Clippers,Washington Wizards,2024-01-31
3,Deni Avdija,26:20,5,11,.455,1,2,.500,2,3,.667,0,5,5,3,1,1,2,2,13,-33,Los Angeles Clippers,Washington Wizards,2024-01-31
4,Daniel Gafford,22:27,2,5,.400,0,0,,2,2,1.000,4,4,8,2,1,5,1,3,6,-16,Los Angeles Clippers,Washington Wizards,2024-01-31
6,Corey Kispert,26:59,6,11,.545,3,8,.375,1,2,.500,0,2,2,1,0,0,1,1,16,-13,Los Angeles Clippers,Washington Wizards,2024-01-31
7,Marvin Bagley III,17:57,5,7,.714,0,0,,0,0,,3,5,8,2,0,0,1,1,10,-10,Los Angeles Clippers,Washington Wizards,2024-01-31
8,Delon Wright,13:34,2,5,.400,0,2,.000,0,0,,0,0,0,0,0,0,0,1,4,-11,Los Angeles Clippers,Washington Wizards,2024-01-31
9,Patrick Baldwin Jr.,12:20,1,6,.167,1,4,.250,0,0,,2,4,6,0,0,0,1,3,3,+7,Los Angeles Clippers,Washington Wizards,2024-01-31
10,Johnny Davis,12:00,1,3,.333,0,1,.000,0,2,.000,0,1,1,1,0,1,0,2,2,+11,Los Angeles Clippers,Washington Wizards,2024-01-31
11,Anthony Gill,7:35,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,1,0,1,0,3,+10,Los Angeles Clippers,Washington Wizards,2024-01-31
12,Jules Bernard,5:27,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,0,1,2,+13,Los Angeles Clippers,Washington Wizards,2024-01-31
13,Jordan Poole,0:0,Los Angeles Clippers,Washington Wizards,2024-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
