,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Giannis Antetokounmpo,37:18,11,25,.440,0,3,.000,15,19,.789,2,8,10,6,0,2,5,4,37,+9,Orlando Magic,Milwaukee Bucks,2023-12-21
1,Brook Lopez,37:18,5,7,.714,2,4,.500,2,2,1.000,0,7,7,0,2,2,2,5,14,+17,Orlando Magic,Milwaukee Bucks,2023-12-21
2,Damian Lillard,35:19,5,17,.294,4,8,.500,10,10,1.000,0,5,5,8,0,0,3,1,24,+9,Orlando Magic,Milwaukee Bucks,2023-12-21
3,Khris Middleton,28:49,5,11,.455,2,7,.286,2,2,1.000,0,4,4,3,0,1,1,2,14,+11,Orlando Magic,Milwaukee Bucks,2023-12-21
4,Malik Beasley,28:25,3,8,.375,2,4,.500,0,0,,1,4,5,2,0,0,0,1,8,+15,Orlando Magic,Milwaukee Bucks,2023-12-21
6,Bobby Portis,21:24,3,8,.375,0,2,.000,0,0,,5,3,8,1,1,1,0,1,6,-18,Orlando Magic,Milwaukee Bucks,2023-12-21
7,Pat Connaughton,20:58,3,6,.500,0,3,.000,2,2,1.000,2,6,8,2,0,0,0,4,8,-6,Orlando Magic,Milwaukee Bucks,2023-12-21
8,Cameron Payne,12:41,1,4,.250,0,3,.000,0,0,,0,1,1,4,0,0,0,2,2,-5,Orlando Magic,Milwaukee Bucks,2023-12-21
9,MarJon Beauchamp,11:10,2,3,.667,1,2,.500,0,0,,0,3,3,0,0,0,2,2,5,-4,Orlando Magic,Milwaukee Bucks,2023-12-21
10,Andre Jackson Jr.,6:38,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-8,Orlando Magic,Milwaukee Bucks,2023-12-21
11,Thanasis Antetokounmpo,0:0,Orlando Magic,Milwaukee Bucks,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,A.J. Green,0:0,Orlando Magic,Milwaukee Bucks,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Robin Lopez,0:0,Orlando Magic,Milwaukee Bucks,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
