,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Nikola Jokić,29:58,1.055,1.045,.091,.273,0.0,43.1,25.2,42.9,0.0,5.9,19.6,21.7,173,98,22.6
1,Jamal Murray,25:40,.924,.917,.500,.083,10.1,3.6,6.3,44.1,3.8,0.0,7.4,22.2,184,107,23.5
2,Kentavious Caldwell-Pope,25:12,.600,.600,.500,.000,10.3,0.0,4.3,12.6,0.0,3.5,0.0,16.8,146,114,-1.0
3,Peyton Watson,23:00,.635,.571,.714,.286,0.0,20.1,11.7,9.8,0.0,0.0,0.0,29.1,141,110,0.7
4,Michael Porter Jr.,22:46,.667,.667,.500,.000,0.0,16.2,9.5,0.0,0.0,3.9,25.0,14.9,88,108,-9.1
5,player,,,,,,,,,,,,,,,,
6,Julian Strawther,24:41,.462,.462,.615,.000,0.0,11.2,6.6,8.6,0.0,3.6,7.1,24.1,99,110,-12.7
7,Christian Braun,23:21,.564,.563,.250,.500,0.0,11.9,6.9,17.6,2.1,0.0,0.0,17.7,137,108,1.1
8,Justin Holiday,17:59,.800,.800,.600,.000,0.0,10.3,6.0,5.7,5.4,0.0,0.0,11.8,162,101,5.2
9,Reggie Jackson,16:49,.571,.500,.143,.286,7.7,5.5,6.4,43.0,2.9,0.0,27.6,27.4,120,108,0.0
10,DeAndre Jordan,12:31,.667,.667,.000,.000,51.8,29.5,38.8,16.2,0.0,14.2,0.0,10.2,191,96,8.1
11,Braxton Key,7:01,.500,.500,.000,.000,18.5,13.2,15.4,14.2,0.0,0.0,0.0,12.1,150,113,-2.0
12,Zeke Nnaji,5:31,.667,.667,.000,.000,23.5,33.5,29.3,0.0,0.0,0.0,25.0,30.8,103,104,-15.9
13,Jalen Pickett,5:31,.750,.750,1.000,.000,0.0,16.7,9.8,37.6,0.0,0.0,0.0,15.4,182,111,12.0
