,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Paul George,38:14,.574,.525,.450,.200,2.8,16.9,10.4,4.2,0.0,1.9,8.4,27.4,115,111,1.8
1,Kawhi Leonard,37:41,.531,.531,.188,.000,2.8,7.3,5.3,21.4,1.3,1.9,11.1,21.0,111,112,1.1
2,James Harden,32:08,.765,.700,.300,.700,0.0,2.9,1.5,52.9,4.7,2.2,23.4,23.4,137,106,17.2
3,Ivica Zubac,26:43,.519,.571,.000,.857,8.0,24.2,16.7,0.0,3.8,2.7,0.0,15.9,116,98,0.5
4,Terance Mann,19:49,.500,.500,.000,.000,0.0,4.7,2.5,0.0,0.0,0.0,0.0,4.4,106,117,-6.7
5,player,,,,,,,,,,,,,,,,
6,Norman Powell,31:38,.581,.458,.250,.500,0.0,14.6,7.8,9.4,1.6,0.0,6.4,21.8,123,109,1.8
7,Daniel Theis,20:45,.500,.500,.500,.000,25.7,26.7,26.2,0.0,0.0,10.4,11.1,19.1,116,100,2.8
8,Kobe Brown,17:10,.375,.375,.750,.000,0.0,21.5,11.5,7.5,0.0,0.0,0.0,10.3,97,110,-6.9
9,Russell Westbrook,15:52,.507,.500,.250,.250,26.9,23.3,25.0,10.8,0.0,9.0,10.1,27.4,115,103,6.9
10,Amir Coffey,Did Not Play,,,,,,,,,,,,,,,
11,Bones Hyland,Did Not Play,,,,,,,,,,,,,,,
12,P.J. Tucker,Did Not Play,,,,,,,,,,,,,,,
