,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jayson Tatum,34:05,10,18,.556,3,9,.333,4,6,.667,0,5,5,4,0,1,1,2,27,+42
1,Jaylen Brown,31:41,12,20,.600,3,8,.375,2,3,.667,1,4,5,2,0,0,2,1,29,+9
2,Jrue Holiday,29:48,4,9,.444,0,2,.000,0,0,,0,3,3,7,1,2,4,2,8,+22
3,Kristaps Porziņģis,27:32,9,14,.643,3,7,.429,0,1,.000,0,7,7,3,0,0,3,1,21,+12
4,Derrick White,25:32,2,5,.400,0,3,.000,0,1,.000,0,4,4,5,0,1,0,2,4,+20
5,player,,,,,,,,,,,,,,,,,,,,
6,Payton Pritchard,24:30,2,5,.400,1,3,.333,2,2,1.000,3,3,6,4,0,0,1,1,7,+14
7,Al Horford,24:01,3,5,.600,1,3,.333,0,0,,1,6,7,4,0,0,0,2,7,+11
8,Sam Hauser,18:25,4,6,.667,4,6,.667,0,0,,0,4,4,0,0,0,0,2,12,-2
9,Luke Kornet,8:47,1,1,1.000,0,0,,0,0,,0,5,5,1,0,0,0,1,2,+3
10,Dalano Banton,6:03,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
11,Oshae Brissett,4:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
12,Svi Mykhailiuk,4:47,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-7
13,Lamar Stevens,Did Not Play,,,,,,,,,,,,,,,,,,,
