,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jayson Tatum,43:54,15,28,.536,7,15,.467,8,10,.800,0,13,13,6,0,2,3,1,45,-5,Boston Celtics,Charlotte Hornets,2023-11-20
1,Sam Hauser,37:26,1,9,.111,1,9,.111,0,0,,0,1,1,1,0,0,1,3,3,-22,Boston Celtics,Charlotte Hornets,2023-11-20
2,Jrue Holiday,37:12,5,11,.455,1,3,.333,0,2,.000,3,3,6,5,1,2,7,1,11,-4,Boston Celtics,Charlotte Hornets,2023-11-20
3,Kristaps Porziņģis,34:25,5,14,.357,1,8,.125,6,10,.600,3,5,8,0,2,3,0,2,17,-26,Boston Celtics,Charlotte Hornets,2023-11-20
4,Jaylen Brown,34:01,5,17,.294,0,5,.000,3,4,.750,1,3,4,3,0,0,2,5,13,-23,Boston Celtics,Charlotte Hornets,2023-11-20
6,Payton Pritchard,33:01,8,14,.571,5,8,.625,0,0,,2,4,6,3,2,0,0,1,21,+16,Boston Celtics,Charlotte Hornets,2023-11-20
7,Luke Kornet,18:31,2,2,1.000,0,0,,0,0,,0,3,3,0,0,1,0,0,4,+25,Boston Celtics,Charlotte Hornets,2023-11-20
8,Oshae Brissett,17:23,0,0,,0,0,,1,2,.500,2,5,7,1,0,0,0,2,1,+17,Boston Celtics,Charlotte Hornets,2023-11-20
9,Svi Mykhailiuk,9:04,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,+7,Boston Celtics,Charlotte Hornets,2023-11-20
10,Dalano Banton,0:0,Boston Celtics,Charlotte Hornets,2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,JD Davison,0:0,Boston Celtics,Charlotte Hornets,2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Neemias Queta,0:0,Boston Celtics,Charlotte Hornets,2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Lamar Stevens,0:0,Boston Celtics,Charlotte Hornets,2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Jordan Walsh,0:0,Boston Celtics,Charlotte Hornets,2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
