,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Brandon Ingram,35:45,10,15,.667,0,0,,3,6,.500,0,6,6,6,3,0,2,1,23,+1
1,Jonas Valančiūnas,35:45,6,11,.545,2,4,.500,1,2,.500,2,8,10,1,0,0,0,3,15,+13
2,Herbert Jones,35:34,4,11,.364,0,4,.000,9,10,.900,4,3,7,4,3,1,2,1,17,+5
3,Zion Williamson,29:58,10,15,.667,0,0,,7,9,.778,2,3,5,3,1,0,5,3,27,-12
4,Dyson Daniels,21:48,3,5,.600,1,3,.333,0,0,,0,2,2,2,2,0,1,2,7,+4
5,player,,,,,,,,,,,,,,,,,,,,
6,Naji Marshall,26:40,2,7,.286,1,4,.250,2,2,1.000,2,1,3,2,1,0,1,3,7,-8
7,Jordan Hawkins,24:38,2,6,.333,2,5,.400,4,4,1.000,0,1,1,0,0,0,0,2,10,-9
8,Jose Alvarado,17:47,3,8,.375,2,5,.400,0,0,,0,1,1,2,0,0,1,0,8,-7
9,Cody Zeller,11:58,1,4,.250,0,0,,2,2,1.000,3,1,4,0,0,0,0,2,4,-17
10,Jeremiah Robinson-Earl,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
11,Kira Lewis Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Dereon Seabron,Did Not Play,,,,,,,,,,,,,,,,,,,
