,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Mikal Bridges,38:32,6,18,.333,2,6,.333,12,13,.923,0,6,6,1,1,0,4,3,26,-6
1,Nic Claxton,33:16,6,9,.667,0,0,,1,2,.500,3,8,11,1,1,0,4,3,13,0
2,Cameron Johnson,23:16,1,7,.143,1,5,.200,0,2,.000,1,1,2,1,1,0,3,3,3,-11
3,Spencer Dinwiddie,15:35,1,3,.333,0,2,.000,0,0,,0,2,2,3,0,0,0,2,2,-20
4,Dorian Finney-Smith,14:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,1,3,0,-17
5,player,,,,,,,,,,,,,,,,,,,,
6,Cam Thomas,34:30,9,21,.429,1,5,.200,7,11,.636,0,6,6,2,0,1,0,3,26,+2
7,Lonnie Walker IV,24:59,8,12,.667,4,5,.800,0,0,,1,2,3,2,1,1,1,3,20,+2
8,Dennis Smith Jr.,22:43,1,2,.500,0,0,,0,0,,1,3,4,5,0,1,1,1,2,+6
9,Royce O'Neale,17:16,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,1,2,0,-8
10,Trendon Watford,12:39,4,5,.800,0,1,.000,0,0,,2,2,4,1,1,0,0,6,8,+11
11,Harry Giles,3:00,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,1,0,2,-4
12,Day'Ron Sharpe,Not With Team,,,,,,,,,,,,,,,,,,,
