,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Herbert Jones,39:01,1,6,.167,0,4,.000,5,6,.833,0,5,5,3,3,1,2,4,7,-8
1,Zion Williamson,34:57,10,16,.625,0,0,,5,7,.714,1,4,5,6,0,0,2,3,25,-1
2,Brandon Ingram,29:32,9,18,.500,1,4,.250,4,4,1.000,0,4,4,3,1,0,2,5,23,0
3,Dyson Daniels,28:45,2,9,.222,0,5,.000,4,4,1.000,3,4,7,0,1,0,0,2,8,-7
4,Jonas Valančiūnas,27:47,6,9,.667,0,0,,3,4,.750,3,8,11,2,0,0,1,5,15,+2
5,player,,,,,,,,,,,,,,,,,,,,
6,Jordan Hawkins,20:49,3,9,.333,2,8,.250,5,5,1.000,1,1,2,3,0,0,0,3,13,+2
7,Naji Marshall,20:20,4,5,.800,2,2,1.000,2,3,.667,2,4,6,4,1,1,1,0,12,+25
8,Jose Alvarado,18:35,4,9,.444,2,6,.333,0,4,.000,0,1,1,2,3,0,1,2,10,+9
9,Larry Nance Jr.,12:28,2,4,.500,0,1,.000,0,0,,1,3,4,0,1,0,1,2,4,-4
10,Cody Zeller,7:44,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,0,2,0,+7
11,Kira Lewis Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Jeremiah Robinson-Earl,Did Not Play,,,,,,,,,,,,,,,,,,,
