,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,OG Anunoby,39:57,4,9,.444,1,4,.250,0,0,,0,1,1,3,0,0,1,2,9,-5
1,Pascal Siakam,35:34,7,16,.438,1,5,.200,3,5,.600,1,4,5,1,0,0,1,2,18,-17
2,Scottie Barnes,33:04,13,22,.591,1,5,.200,3,4,.750,1,9,10,5,0,1,2,0,30,-4
3,Dennis Schröder,30:50,3,8,.375,1,2,.500,0,0,,0,2,2,7,1,0,2,2,7,-17
4,Jakob Poeltl,19:21,2,5,.400,0,0,,0,0,,2,3,5,3,0,2,1,2,4,-12
5,player,,,,,,,,,,,,,,,,,,,,
6,Gary Trent Jr.,28:37,4,9,.444,1,5,.200,3,3,1.000,0,3,3,4,0,0,1,0,12,-11
7,Precious Achiuwa,24:34,6,10,.600,1,2,.500,0,1,.000,4,1,5,1,1,1,1,2,13,+6
8,Malachi Flynn,15:37,2,8,.250,2,3,.667,0,0,,0,3,3,2,1,0,1,1,6,+7
9,Chris Boucher,12:26,2,3,.667,1,1,1.000,0,0,,2,5,7,0,0,1,1,1,5,+8
10,Gradey Dick,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Jalen McDaniels,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Otto Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Garrett Temple,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Thaddeus Young,Did Not Play,,,,,,,,,,,,,,,,,,,
