,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Paolo Banchero,29:18,6,14,.429,1,4,.250,5,9,.556,0,3,3,6,0,0,2,2,18,-22
1,Wendell Carter Jr.,26:53,4,9,.444,1,2,.500,1,2,.500,2,7,9,1,2,0,1,2,10,-22
2,Jalen Suggs,25:30,2,5,.400,2,4,.500,0,0,,0,2,2,3,2,0,3,2,6,-24
3,Franz Wagner,24:21,6,11,.545,2,5,.400,3,3,1.000,1,2,3,2,0,0,3,2,17,-23
4,Anthony Black,18:28,3,6,.500,0,1,.000,1,2,.500,1,0,1,2,1,0,0,0,7,-18
5,player,,,,,,,,,,,,,,,,,,,,
6,Caleb Houstan,23:33,2,3,.667,2,3,.667,0,0,,0,2,2,0,0,0,1,2,6,0
7,Chuma Okeke,21:10,1,6,.167,1,6,.167,0,0,,0,1,1,0,0,0,0,1,3,-9
8,Moritz Wagner,18:28,4,8,.500,1,1,1.000,6,8,.750,1,3,4,1,0,0,0,2,15,-10
9,Joe Ingles,14:37,1,1,1.000,0,0,,0,0,,2,2,4,2,1,0,2,2,2,-9
10,Trevelin Queen,13:38,2,4,.500,0,1,.000,4,6,.667,0,1,1,5,1,0,1,0,8,+2
11,Cole Anthony,12:48,2,4,.500,1,1,1.000,0,0,,0,2,2,2,0,0,2,1,5,-9
12,Goga Bitadze,8:37,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,0,1,2,+4
13,Admiral Schofield,2:39,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+5
