,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Keldon Johnson,33:12,4,7,.571,1,3,.333,2,2,1.000,1,6,7,3,1,0,2,2,11,-7
1,Jeremy Sochan,31:16,4,13,.308,2,4,.500,3,4,.750,0,3,3,4,0,0,2,2,13,-9
2,Zach Collins,24:05,3,11,.273,1,5,.200,5,6,.833,3,2,5,3,2,1,3,2,12,-18
3,Julian Champagnie,22:14,4,7,.571,3,6,.500,1,1,1.000,1,4,5,3,0,0,3,3,12,-7
4,Malaki Branham,21:32,4,7,.571,2,3,.667,0,0,,0,2,2,0,0,0,3,1,10,+2
5,player,,,,,,,,,,,,,,,,,,,,
6,Cedi Osman,27:23,4,9,.444,2,5,.400,1,2,.500,0,2,2,5,0,1,0,3,11,-17
7,Devin Vassell,26:32,5,12,.417,2,7,.286,2,2,1.000,0,0,0,1,2,0,3,2,14,-16
8,Tre Jones,22:41,4,9,.444,2,4,.500,0,0,,1,2,3,3,0,0,2,1,10,-10
9,Charles Bassey,19:25,4,4,1.000,0,0,,0,0,,1,10,11,3,0,3,1,4,8,+5
10,Sandro Mamukelashvili,6:04,1,3,.333,1,2,.500,0,0,,1,0,1,1,0,0,0,1,3,0
11,Dominick Barlow,2:48,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+1
12,Blake Wesley,2:48,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,+1
13,Devonte' Graham,Did Not Play,,,,,,,,,,,,,,,,,,,
