,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Devin Vassell,33:37,8,14,.571,4,6,.667,1,3,.333,0,5,5,5,1,0,4,1,21,+23,San Antonio Spurs,Washington Wizards,2024-01-20
1,Tre Jones,32:13,4,9,.444,0,3,.000,3,3,1.000,3,5,8,12,3,0,1,0,11,+6,San Antonio Spurs,Washington Wizards,2024-01-20
2,Jeremy Sochan,28:13,8,11,.727,1,2,.500,6,6,1.000,2,2,4,3,1,2,0,4,23,+27,San Antonio Spurs,Washington Wizards,2024-01-20
3,Victor Wembanyama,27:45,10,21,.476,2,5,.400,2,4,.500,1,7,8,4,0,6,6,3,24,+4,San Antonio Spurs,Washington Wizards,2024-01-20
4,Julian Champagnie,22:53,4,7,.571,3,6,.500,0,0,,2,5,7,0,0,2,2,2,11,-10,San Antonio Spurs,Washington Wizards,2024-01-20
6,Keldon Johnson,28:14,7,15,.467,0,3,.000,5,7,.714,4,5,9,2,0,0,1,2,19,+5,San Antonio Spurs,Washington Wizards,2024-01-20
7,Zach Collins,20:15,4,9,.444,0,1,.000,0,0,,1,2,3,3,0,0,1,2,8,0,San Antonio Spurs,Washington Wizards,2024-01-20
8,Cedi Osman,17:21,1,3,.333,1,3,.333,0,0,,0,3,3,4,0,0,0,1,3,-18,San Antonio Spurs,Washington Wizards,2024-01-20
9,Blake Wesley,15:08,3,4,.750,0,0,,0,0,,1,0,1,3,1,0,1,1,6,0,San Antonio Spurs,Washington Wizards,2024-01-20
10,Doug McDermott,9:56,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,2,3,-17,San Antonio Spurs,Washington Wizards,2024-01-20
11,Malaki Branham,4:25,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,1,2,0,San Antonio Spurs,Washington Wizards,2024-01-20
12,Dominick Barlow,0:0,San Antonio Spurs,Washington Wizards,2024-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Mamadi Diakite,0:0,San Antonio Spurs,Washington Wizards,2024-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Devonte' Graham,0:0,San Antonio Spurs,Washington Wizards,2024-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Sandro Mamukelashvili,0:0,San Antonio Spurs,Washington Wizards,2024-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
