,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Lauri Markkanen,37:42,10,24,.417,5,13,.385,2,2,1.000,5,9,14,5,0,1,2,2,27,+3
1,John Collins,34:01,7,16,.438,1,3,.333,0,3,.000,3,6,9,1,1,0,0,3,15,-5
2,Jordan Clarkson,33:33,2,10,.200,0,4,.000,0,3,.000,2,1,3,6,1,0,5,1,4,-7
3,Talen Horton-Tucker,29:30,7,12,.583,2,3,.667,0,0,,0,3,3,8,0,0,1,4,16,+2
4,Walker Kessler,29:09,10,11,.909,0,0,,2,3,.667,3,10,13,0,0,1,2,4,22,-2
5,player,,,,,,,,,,,,,,,,,,,,
6,Keyonte George,19:58,1,6,.167,1,4,.250,0,0,,1,0,1,2,1,0,0,0,3,-12
7,Kelly Olynyk,18:12,0,2,.000,0,2,.000,3,4,.750,2,2,4,5,3,0,1,4,3,-8
8,Collin Sexton,16:51,5,10,.500,2,5,.400,0,0,,0,0,0,0,0,0,1,2,12,-10
9,Ochai Agbaji,14:38,0,5,.000,0,2,.000,0,0,,1,1,2,2,0,0,0,0,0,-1
10,Kris Dunn,6:26,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,0
11,Simone Fontecchio,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Luka Šamanić,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Omer Yurtseven,Did Not Play,,,,,,,,,,,,,,,,,,,
