,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jrue Holiday,36:46,2,7,.286,1,3,.333,2,2,1.000,2,4,6,4,0,0,2,1,7,-9,Boston Celtics,Memphis Grizzlies,2023-11-19
1,Jayson Tatum,35:15,7,13,.538,1,1,1.000,5,6,.833,2,7,9,5,1,1,8,4,20,-1,Boston Celtics,Memphis Grizzlies,2023-11-19
2,Derrick White,34:08,3,9,.333,2,5,.400,2,2,1.000,1,2,3,4,0,1,2,2,10,+1,Boston Celtics,Memphis Grizzlies,2023-11-19
3,Jaylen Brown,33:42,5,16,.313,1,7,.143,1,2,.500,0,6,6,3,2,2,2,4,12,+1,Boston Celtics,Memphis Grizzlies,2023-11-19
4,Kristaps Porziņģis,33:32,9,13,.692,0,3,.000,8,9,.889,2,6,8,1,1,6,2,4,26,+4,Boston Celtics,Memphis Grizzlies,2023-11-19
6,Sam Hauser,21:51,5,8,.625,5,7,.714,0,0,,0,4,4,0,2,0,0,0,15,+17,Boston Celtics,Memphis Grizzlies,2023-11-19
7,Al Horford,21:35,2,5,.400,1,3,.333,0,0,,2,1,3,2,0,0,0,2,5,+2,Boston Celtics,Memphis Grizzlies,2023-11-19
8,Payton Pritchard,15:13,2,5,.400,1,2,.500,2,4,.500,0,3,3,1,0,0,1,0,7,0,Boston Celtics,Memphis Grizzlies,2023-11-19
9,Neemias Queta,5:17,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-3,Boston Celtics,Memphis Grizzlies,2023-11-19
10,Lamar Stevens,2:41,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2,Boston Celtics,Memphis Grizzlies,2023-11-19
11,Dalano Banton,0:0,Boston Celtics,Memphis Grizzlies,2023-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Oshae Brissett,0:0,Boston Celtics,Memphis Grizzlies,2023-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Luke Kornet,0:0,Boston Celtics,Memphis Grizzlies,2023-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Svi Mykhailiuk,0:0,Boston Celtics,Memphis Grizzlies,2023-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
